"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";1,004;0,598;-0,167;2,154;9,969;1,033;7,99;11,993;0,922;0,052;0,793;0,99;0,798;0,122;0,519;0,973;8,804;3,04;4,772;16,358
"Miasto Szczecin";-0,094;0,624;-1,295;1,185;9,972;1,011;8,029;11,976;0,922;0,051;0,798;0,99;0,797;0,122;0,506;0,973;9,901;3,241;5,473;17,915
"Bialski";0,067;0,595;-1,09;1,282;9,982;1,02;7,989;11,937;0,922;0,051;0,8;0,99;0,797;0,122;0,526;0,973;9,427;3,177;5,056;17,185
"Łomżynski";0,333;0,627;-0,886;1,547;9,968;1,019;7,933;11,958;0,921;0,053;0,791;0,99;0,798;0,122;0,514;0,975;10,107;3,35;5,501;18,737
"Wrocławski";1,756;0,732;0,303;3,18;9,767;1,038;7,736;11,768;0,893;0,073;0,712;0,987;0,759;0,132;0,464;0,959;14,2;4,975;7,297;26,28
"Nowotarski";0,599;0,564;-0,512;1,696;9,982;1,017;7,984;12,01;0,922;0,053;0,792;0,99;0,8;0,121;0,518;0,973;7,118;2,295;3,918;12,799
"Oświęcimski";0,083;0,572;-1,032;1,216;9,976;0,986;7,992;11,871;0,924;0,05;0,802;0,99;0,804;0,119;0,532;0,971;7,714;2,569;4,247;14,151
"Zielonogórski";0,455;0,591;-0,714;1,634;9,968;1,032;7,985;11,985;0,922;0,052;0,79;0,99;0,8;0,121;0,524;0,974;8,912;3,018;4,685;16,482
"Kaliski";1,001;0,607;-0,186;2,209;9,997;0,993;8,049;11,893;0,921;0,053;0,792;0,99;0,799;0,123;0,507;0,971;9,206;3,033;4,983;16,765
"Poznański";1,821;0,634;0,539;3,029;9,944;1,03;7,892;11,883;0,915;0,059;0,77;0,989;0,79;0,126;0,507;0,97;10,415;3,423;5,632;19,084
"Siedlecki";0,75;0,695;-0,616;2,118;9,84;1,004;7,847;11,792;0,899;0,066;0,741;0,986;0,768;0,128;0,476;0,963;12,148;4,454;6,17;23,095
"Ostrołęcki";0,845;0,608;-0,388;2,053;9,925;1,015;7,948;11,953;0,922;0,053;0,792;0,99;0,792;0,123;0,51;0,97;9,249;3,019;5,041;16,63
"Białostocki";0,218;0,538;-0,826;1,251;9,996;0,999;7,981;11,917;0,923;0,051;0,801;0,99;0,803;0,121;0,521;0,971;6,163;1,961;3,424;10,813
"Miasto Kraków";1,064;0,597;-0,113;2,228;9,983;1,005;7,974;11,885;0,921;0,053;0,791;0,989;0,797;0,12;0,52;0,975;8,234;2,718;4,478;14,986
"Olsztyński";0,045;0,535;-1,008;1,104;10,001;0,99;8,066;12,005;0,922;0,052;0,796;0,99;0,801;0,12;0,525;0,97;5,924;1,971;3,26;10,82
"Ełcki";0,235;0,629;-0,98;1,473;9,978;1,016;8,012;11,947;0,921;0,053;0,79;0,99;0,798;0,121;0,52;0,973;10,157;3,502;5,447;18,559
