"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,104;0,522;-1,05;1,409;-0,017;0,385;-1,247;0,29;0,808;0,127;0,524;0,989;0,924;0,089;0,678;0,999;0,905;0,12;0,702;1,167
"Miasto Szczecin";0,084;0,564;-1,158;1,504;-0,003;0,263;-0,293;0,253;0,798;0,125;0,5;0,979;0,929;0,083;0,701;0,999;0,914;0,124;0,708;1,201
"Bialski";0,074;0,531;-0,993;1,483;-0,056;0,35;-1,001;0,241;0,8;0,129;0,498;0,986;0,921;0,087;0,683;0,999;0,918;0,124;0,712;1,193
"Łomżyński";0,092;0,559;-1,083;1,495;-0,057;0,381;-1,203;0,239;0,808;0,126;0,52;0,986;0,93;0,081;0,703;0,999;0,914;0,123;0,709;1,19
"Wrocławski";0,072;0,573;-1,193;1,49;-0,038;0,265;-0,485;0,243;0,802;0,127;0,51;0,982;0,924;0,09;0,681;0,999;0,925;0,123;0,713;1,2
"Nowotarski";0,086;0,565;-1,207;1,514;-0,007;0,24;-0,37;0,25;0,803;0,124;0,52;0,982;0,925;0,087;0,68;0,999;0,916;0,124;0,706;1,19
"Oświęcimski";0,084;0,56;-1,147;1,498;-0,08;0,404;-1,435;0,237;0,807;0,128;0,511;0,989;0,929;0,082;0,702;0,999;0,928;0,124;0,712;1,19
"Zielonogórski";0,028;0,481;-1,001;1,228;-0,09;0,336;-0,875;0,218;0,804;0,129;0,499;0,985;0,912;0,089;0,683;0,999;0,932;0,126;0,719;1,216
"Kaliski";0,078;0,541;-1,043;1,52;-0,037;0,299;-0,651;0,245;0,801;0,13;0,489;0,982;0,929;0,078;0,715;0,999;0,915;0,124;0,704;1,186
"Poznański";0,076;0,56;-1,153;1,509;-0,051;0,347;-1,167;0,241;0,804;0,125;0,516;0,986;0,926;0,086;0,686;0,999;0,909;0,122;0,705;1,175
"Siedlecki";0,079;0,555;-1,094;1,518;-0,028;0,29;-0,515;0,235;0,798;0,122;0,523;0,983;0,93;0,082;0,706;0,999;0,91;0,121;0,697;1,18
"Ostrołęcki";0,045;0,501;-1,006;1,241;-0,071;0,294;-0,615;0,222;0,796;0,125;0,509;0,982;0,918;0,091;0,661;0,999;0,929;0,126;0,717;1,2
"Białostocki";0,086;0,585;-1,134;1,613;-0,031;0,299;-0,503;0,241;0,805;0,122;0,527;0,983;0,936;0,08;0,705;0,999;0,912;0,122;0,702;1,183
"Miasto Kraków";0,115;0,551;-1,088;1,544;0,015;0,303;-0,444;0,298;0,8;0,128;0,506;0,983;0,922;0,093;0,657;0,999;0,901;0,123;0,695;1,183
"Olsztyński";0,039;0,53;-1,086;1,383;-0,074;0,314;-0,867;0,221;0,801;0,128;0,506;0,983;0,921;0,089;0,679;0,999;0,929;0,125;0,713;1,2
"Ełcki";0,019;0,542;-1,119;1,364;-0,113;0,327;-1,025;0,189;0,791;0,13;0,495;0,987;0,925;0,086;0,68;0,999;0,973;0,129;0,753;1,255
"Trójmiejski";0,127;0,575;-1,134;1,579;0,005;0,374;-1,117;0,296;0,807;0,127;0,511;0,987;0,932;0,08;0,71;0,999;0,905;0,123;0,7;1,179
"Gdański";0,069;0,468;-0,864;1,276;-0,066;0,357;-1,084;0,249;0,803;0,128;0,509;0,987;0,912;0,092;0,667;0,999;0,926;0,126;0,71;1,213
"Słupski";0,048;0,504;-1,004;1,302;-0,066;0,279;-0,494;0,232;0,8;0,127;0,506;0,981;0,92;0,09;0,671;0,999;0,934;0,128;0,718;1,227
"Opolski";0,076;0,563;-1,196;1,482;-0,009;0,301;-0,549;0,252;0,797;0,126;0,501;0,983;0,93;0,084;0,697;0,999;0,918;0,123;0,709;1,188
"Bydgosko-toruński";0,099;0,55;-1,095;1,49;-0,02;0,329;-0,822;0,274;0,799;0,128;0,5;0,986;0,922;0,091;0,667;0,999;0,904;0,123;0,697;1,173
"Radomski";0,024;0,517;-1,027;1,409;-0,085;0,315;-0,667;0,197;0,797;0,128;0,513;0,983;0,924;0,085;0,692;0,999;0,928;0,126;0,71;1,203
"Skierniewicki";0,078;0,528;-1,006;1,445;-0,027;0,244;-0,345;0,23;0,802;0,121;0,516;0,98;0,922;0,087;0,685;0,999;0,913;0,121;0,708;1,182
"Kielecki";0,069;0,523;-0,982;1,434;-0,071;0,322;-0,835;0,233;0,806;0,128;0,504;0,986;0,917;0,092;0,662;0,999;0,93;0,124;0,717;1,194
"Sandomiersko-jędrzejowski";0,064;0,548;-1,116;1,472;-0,085;0,39;-1,43;0,23;0,813;0,127;0,522;0,99;0,919;0,089;0,689;0,999;0,917;0,123;0,709;1,194
"Nyski";0,036;0,507;-1,022;1,33;-0,105;0,362;-1,207;0,222;0,809;0,126;0,516;0,986;0,918;0,088;0,678;0,999;0,982;0,13;0,758;1,269
"Puławski";0,071;0,562;-1,148;1,488;-0,033;0,294;-0,711;0,232;0,79;0,128;0,5;0,982;0,925;0,085;0,689;0,999;0,915;0,125;0,705;1,191
"Włocławski";0,049;0,54;-1,012;1,415;-0,084;0,325;-0,832;0,215;0,8;0,128;0,508;0,986;0,918;0,089;0,684;0,999;0,969;0,131;0,747;1,264
"Łódzki";0,045;0,547;-1,061;1,496;-0,09;0,295;-0,679;0,198;0,802;0,129;0,509;0,983;0,933;0,075;0,733;0,999;0,928;0,125;0,711;1,199
"Chojnicki";0,054;0,573;-1,164;1,509;-0,068;0,256;-0,446;0,197;0,795;0,124;0,511;0,981;0,931;0,084;0,694;0,999;0,944;0,128;0,729;1,235
"Starogardzki";0,04;0,588;-1,201;1,521;-0,066;0,226;-0,413;0,212;0,803;0,123;0,513;0,976;0,928;0,081;0,711;0,999;0,959;0,131;0,742;1,255
"Miasto Łódź";0,087;0,541;-1,092;1,494;-0,016;0,289;-0,467;0,237;0,791;0,129;0,492;0,981;0,928;0,079;0,712;0,999;0,907;0,122;0,703;1,173
"Leszczyński";0,089;0,55;-1,031;1,46;-0,067;0,411;-1,522;0,262;0,807;0,13;0,513;0,99;0,93;0,081;0,707;0,999;0,91;0,122;0,699;1,186
"Jeleniogórski";0,04;0,556;-1,126;1,502;-0,075;0,285;-0,543;0,211;0,801;0,124;0,507;0,982;0,928;0,082;0,694;0,999;0,929;0,126;0,709;1,201
"Legnicko-głogowski";0,081;0,549;-1,093;1,506;-0,027;0,268;-0,427;0,24;0,805;0,122;0,528;0,982;0,928;0,083;0,694;0,999;0,911;0,123;0,702;1,181
"Tarnobrzeski";0,056;0,523;-1,002;1,39;-0,049;0,265;-0,387;0,211;0,798;0,124;0,512;0,979;0,912;0,101;0,639;0,999;0,923;0,124;0,716;1,194
