"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,116;0,566;-1,092;1,564;0,003;0,31;-0,587;0,271;0,799;0,128;0,514;0,983;0,932;0,083;0,687;0,999;0,908;0,125;0,7;1,189
"Miasto Szczecin";0,09;0,535;-1,06;1,438;-0,04;0,363;-1,169;0,26;0,81;0,128;0,508;0,987;0,932;0,081;0,699;0,999;0,912;0,123;0,702;1,178
"Bialski";0,075;0,574;-1,211;1,506;-0,06;0,327;-0,982;0,229;0,798;0,131;0,498;0,987;0,931;0,086;0,69;0,999;0,921;0,122;0,711;1,184
"Łomżyński";0,078;0,543;-1,151;1,376;-0,04;0,343;-0,882;0,245;0,805;0,123;0,524;0,983;0,925;0,089;0,683;0,999;0,914;0,124;0,704;1,194
"Wrocławski";0,069;0,59;-1,199;1,588;-0,046;0,317;-0,593;0,225;0,798;0,125;0,505;0,981;0,936;0,077;0,72;0,999;0,923;0,125;0,713;1,19
"Nowotarski";0,086;0,533;-1,05;1,428;-0,069;0,437;-1,557;0,275;0,819;0,125;0,533;0,99;0,927;0,086;0,683;0,999;0,917;0,124;0,702;1,18
"Oświęcimski";0,073;0,534;-1,069;1,359;-0,054;0,331;-0,78;0,257;0,8;0,13;0,503;0,986;0,921;0,089;0,677;0,999;0,93;0,126;0,715;1,206
"Zielonogórski";0,051;0,567;-1,073;1,516;-0,066;0,282;-0,578;0,219;0,804;0,126;0,51;0,985;0,932;0,081;0,705;0,999;0,928;0,124;0,714;1,201
"Kaliski";0,07;0,557;-1,141;1,433;-0,043;0,31;-0,794;0,235;0,798;0,128;0,51;0,985;0,923;0,086;0,699;0,999;0,918;0,124;0,708;1,192
"Poznański";0,061;0,478;-0,942;1,292;-0,042;0,331;-0,889;0,258;0,811;0,123;0,535;0,986;0,914;0,089;0,679;0,999;0,904;0,122;0,699;1,172
"Siedlecki";0,097;0,603;-1,2;1,665;0,001;0,188;-0,224;0,236;0,788;0,123;0,503;0,97;0,94;0,073;0,73;0,999;0,911;0,121;0,706;1,172
"Ostrołęcki";0,043;0,519;-1,031;1,403;-0,085;0,357;-1,026;0,219;0,805;0,13;0,511;0,987;0,926;0,084;0,69;0,999;0,929;0,124;0,719;1,202
"Białostocki";0,085;0,549;-1,096;1,543;-0,036;0,306;-0,584;0,249;0,805;0,123;0,516;0,983;0,925;0,088;0,681;0,999;0,913;0,124;0,708;1,187
"Miasto Kraków";0,092;0,502;-1,026;1,306;-0,032;0,417;-1,568;0,296;0,807;0,128;0,509;0,987;0,921;0,087;0,686;0,999;0,901;0,123;0,69;1,17
"Olsztyński";0,059;0,515;-1,073;1,358;-0,068;0,301;-0,659;0,218;0,803;0,126;0,514;0,984;0,924;0,085;0,684;0,999;0,926;0,123;0,716;1,199
"Ełcki";0,038;0,552;-1,034;1,487;-0,097;0,275;-0,598;0,216;0,805;0,127;0,508;0,982;0,921;0,09;0,667;0,999;0,97;0,129;0,747;1,258
"Trójmiejski";0,116;0,515;-0,992;1,451;-0,008;0,396;-1,315;0,326;0,809;0,127;0,514;0,988;0,919;0,09;0,666;0,999;0,904;0,12;0,698;1,163
"Gdański";0,063;0,559;-1,142;1,449;-0,059;0,354;-0,837;0,226;0,799;0,129;0,496;0,985;0,93;0,085;0,682;0,999;0,924;0,123;0,714;1,192
"Słupski";0,073;0,59;-1,108;1,49;-0,078;0,336;-0,92;0,214;0,798;0,127;0,507;0,986;0,939;0,074;0,725;0,999;0,933;0,127;0,719;1,21
"Opolski";0,081;0,541;-1,017;1,448;-0,027;0,322;-1,001;0,254;0,8;0,127;0,509;0,986;0,929;0,08;0,708;0,999;0,921;0,126;0,706;1,199
"Bydgosko-toruński";0,103;0,562;-1,101;1,501;-0,017;0,317;-0,783;0,258;0,803;0,125;0,519;0,984;0,932;0,08;0,709;0,999;0,903;0,122;0,694;1,183
"Radomski";0,029;0,528;-1,113;1,367;-0,126;0,411;-1,484;0,21;0,811;0,128;0,519;0,99;0,92;0,091;0,674;0,999;0,926;0,124;0,713;1,206
"Skierniewicki";0,069;0,557;-1,118;1,545;-0,048;0,34;-0,845;0,24;0,798;0,126;0,527;0,986;0,924;0,084;0,707;0,999;0,913;0,124;0,701;1,185
"Kielecki";0,071;0,564;-1,135;1,426;-0,061;0,293;-0,682;0,211;0,798;0,124;0,512;0,981;0,92;0,097;0,652;0,999;0,928;0,124;0,719;1,209
"Sandomiersko-jędrzejowski";0,079;0,512;-0,992;1,366;-0,04;0,3;-0,559;0,238;0,806;0,126;0,511;0,983;0,922;0,088;0,683;0,999;0,922;0,123;0,713;1,189
"Nyski";0,049;0,559;-1,092;1,531;-0,093;0,325;-0,97;0,222;0,802;0,129;0,495;0,984;0,925;0,087;0,679;0,999;0,982;0,131;0,763;1,267
"Puławski";0,06;0,551;-1,126;1,432;-0,025;0,266;-0,381;0,235;0,793;0,124;0,508;0,981;0,931;0,078;0,71;0,999;0,915;0,123;0,704;1,182
"Włocławski";0,053;0,573;-1,132;1,567;-0,064;0,251;-0,393;0,196;0,796;0,123;0,511;0,977;0,924;0,088;0,679;0,999;0,968;0,132;0,744;1,254
"Łódzki";0,047;0,568;-1,11;1,467;-0,085;0,284;-0,509;0,192;0,799;0,124;0,513;0,981;0,927;0,094;0,66;0,999;0,93;0,125;0,716;1,205
"Chojnicki";0,054;0,56;-1,061;1,503;-0,096;0,368;-1,13;0,203;0,804;0,128;0,522;0,987;0,925;0,085;0,7;0,999;0,942;0,127;0,721;1,22
"Starogardzki";0,034;0,553;-1,104;1,465;-0,113;0,358;-1,208;0,202;0,809;0,127;0,516;0,988;0,925;0,082;0,7;0,999;0,959;0,128;0,744;1,235
"Miasto Łódź";0,092;0,556;-1,101;1,485;-0,009;0,263;-0,513;0,246;0,794;0,125;0,514;0,981;0,927;0,084;0,693;0,999;0,905;0,119;0,704;1,172
"Leszczyński";0,095;0,572;-1,158;1,578;-0,035;0,336;-0,884;0,243;0,799;0,127;0,517;0,986;0,929;0,085;0,69;0,999;0,914;0,122;0,709;1,175
"Jeleniogórski";0,039;0,529;-1,023;1,376;-0,115;0,397;-1,43;0,21;0,8;0,133;0,494;0,988;0,922;0,091;0,662;0,999;0,926;0,126;0,707;1,2
"Legnicko-głogowski";0,067;0,527;-1,054;1,367;-0,046;0,324;-0,948;0,248;0,807;0,124;0,529;0,986;0,919;0,09;0,674;0,999;0,915;0,122;0,706;1,184
"Tarnobrzeski";0,067;0,591;-1,171;1,525;-0,061;0,3;-0,596;0,217;0,802;0,124;0,523;0,981;0,923;0,096;0,663;0,999;0,918;0,123;0,707;1,189
"Koniński";0,058;0,557;-1,112;1,433;-0,058;0,281;-0,567;0,205;0,801;0,125;0,512;0,983;0,929;0,086;0,688;0,999;0,912;0,124;0,703;1,185
"Szczecinecko-pyrzycki";0,052;0,554;-0,999;1,502;-0,098;0,336;-0,834;0,192;0,8;0,13;0,502;0,987;0,929;0,08;0,707;0,999;0,945;0,126;0,726;1,215
"Tyski";0,105;0,534;-1,03;1,532;-0,006;0,294;-0,519;0,26;0,8;0,124;0,517;0,983;0,927;0,081;0,719;0,999;0,911;0,123;0,697;1,183
"Sieradzki";0,065;0,522;-0,947;1,396;-0,036;0,262;-0,402;0,221;0,788;0,129;0,5;0,978;0,922;0,088;0,68;0,999;0,913;0,124;0,704;1,188
"Rzeszowski";0,078;0,529;-1,076;1,436;-0,039;0,368;-1,025;0,261;0,797;0,129;0,503;0,986;0,921;0,09;0,668;0,999;0,912;0,123;0,703;1,18
"Szczeciński";0,034;0,52;-1,025;1,37;-0,102;0,347;-0,959;0,195;0,81;0,121;0,524;0,985;0,927;0,084;0,693;0,999;0,929;0,127;0,718;1,216
"Bytomski";0,046;0,503;-0,992;1,3;-0,068;0,323;-0,697;0,217;0,795;0,128;0,504;0,985;0,924;0,08;0,718;0,999;0,923;0,123;0,715;1,195
"Gliwicki";0,094;0,561;-1,06;1,494;-0,02;0,263;-0,418;0,225;0,795;0,123;0,52;0,981;0,93;0,082;0,693;0,999;0,906;0,123;0,695;1,178
"Katowicki";0,098;0,574;-1,143;1,531;-0,004;0,241;-0,295;0,243;0,789;0,129;0,49;0,976;0,933;0,084;0,693;0,999;0,904;0,121;0,698;1,167
"Koszaliński";0,069;0,527;-1,012;1,446;-0,07;0,384;-1,342;0,246;0,802;0,131;0,5;0,988;0,922;0,089;0,683;0,999;0,943;0,126;0,731;1,217
"Suwalski";0,049;0,534;-1,068;1,404;-0,046;0,27;-0,43;0,229;0,8;0,126;0,517;0,979;0,923;0,087;0,69;0,999;0,938;0,128;0,719;1,204
"Lubelski";0,089;0,529;-1,004;1,457;-0,054;0,398;-1,328;0,241;0,801;0,129;0,506;0,987;0,928;0,081;0,707;0,999;0,909;0,124;0,701;1,18
"Wałbrzyski";0,037;0,572;-1,167;1,49;-0,077;0,28;-0,472;0,207;0,797;0,125;0,516;0,979;0,932;0,08;0,712;0,999;0,958;0,127;0,739;1,24
"Miasto Warszawa";0,113;0,553;-1,098;1,509;-0,044;0,421;-1,434;0,272;0,814;0,129;0,511;0,989;0,93;0,081;0,705;0,999;0,9;0,124;0,692;1,172
"Tarnowski";0,088;0,576;-1,112;1,559;-0,039;0,304;-0,697;0,236;0,797;0,127;0,511;0,986;0,927;0,086;0,688;0,999;0,912;0,125;0,703;1,19
"Piotrkowski";0,043;0,564;-1,182;1,487;-0,054;0,265;-0,472;0,22;0,8;0,126;0,508;0,98;0,926;0,086;0,693;0,999;0,92;0,125;0,709;1,198
"Warszawski wschodni";0,077;0,536;-1,028;1,432;-0,023;0,293;-0,531;0,251;0,802;0,126;0,51;0,983;0,921;0,089;0,683;0,999;0,918;0,122;0,71;1,188
"Pilski";0,039;0,54;-1,082;1,389;-0,071;0,289;-0,482;0,21;0,797;0,128;0,512;0,983;0,926;0,086;0,69;0,999;0,931;0,126;0,714;1,211
"Nowosądecki";0,062;0,532;-1,052;1,469;-0,057;0,275;-0,391;0,203;0,795;0,126;0,505;0,978;0,926;0,086;0,684;0,999;0,926;0,127;0,711;1,206
"Elbląski";0,048;0,548;-1,066;1,428;-0,085;0,323;-0,812;0,214;0,805;0,126;0,521;0,984;0,921;0,091;0,666;0,999;0,949;0,129;0,729;1,236
"Sosnowiecki";0,049;0,54;-1,099;1,459;-0,056;0,285;-0,683;0,226;0,803;0,126;0,514;0,984;0,914;0,096;0,661;0,999;0,917;0,126;0,715;1,202
"Krośnieński";0,069;0,555;-1,099;1,506;-0,069;0,358;-1,134;0,212;0,805;0,123;0,525;0,987;0,929;0,082;0,7;0,999;0,917;0,125;0,702;1,192
"Krakowski";0,069;0,58;-1,106;1,586;-0,04;0,239;-0,385;0,214;0,794;0,128;0,491;0,978;0,926;0,088;0,681;0,999;0,917;0,123;0,706;1,182
"Częstochowski";0,045;0,566;-1,182;1,489;-0,065;0,266;-0,445;0,206;0,801;0,123;0,523;0,981;0,936;0,074;0,74;0,999;0,928;0,127;0,708;1,202
"Grudziądzki";0,051;0,563;-1,162;1,456;-0,084;0,337;-0,904;0,208;0,809;0,123;0,52;0,985;0,927;0,085;0,696;0,999;0,949;0,128;0,73;1,23
"Chełmsko-zamojski";0,075;0,563;-1,134;1,489;-0,025;0,283;-0,512;0,239;0,797;0,127;0,507;0,983;0,922;0,09;0,68;0,999;0,913;0,12;0,707;1,173
"Bielski";0,073;0,508;-1,029;1,466;-0,019;0,262;-0,384;0,248;0,797;0,129;0,498;0,982;0,918;0,088;0,683;0,999;0,911;0,124;0,701;1,187
"Rybnicki";0,089;0,529;-1,048;1,404;-0,02;0,307;-0,65;0,25;0,808;0,12;0,522;0,983;0,926;0,087;0,677;0,999;0,913;0,123;0,698;1,181
"Miasto Poznań";0,117;0,584;-1,107;1,624;0,01;0,296;-0,394;0,27;0,794;0,126;0,505;0,982;0,933;0,083;0,703;0,999;0,898;0,121;0,691;1,16
"Warszawski zachodni";0,092;0,574;-1,15;1,547;-0,028;0,309;-0,734;0,231;0,801;0,125;0,519;0,984;0,927;0,085;0,69;0,999;0,9;0,119;0,693;1,157
"Inowrocławski";0,058;0,565;-1,039;1,55;-0,056;0,177;-0,355;0,19;0,796;0,124;0,509;0,972;0,921;0,094;0,663;0,999;0,943;0,126;0,728;1,22
"Świecki";0,036;0,548;-1,102;1,415;-0,085;0,298;-0,669;0,184;0,802;0,123;0,516;0,982;0,93;0,079;0,715;0,999;0,954;0,129;0,732;1,235
"Gorzowski";0,048;0,544;-1,157;1,392;-0,067;0,314;-0,713;0,242;0,81;0,122;0,533;0,984;0,921;0,09;0,672;0,999;0,934;0,126;0,718;1,217
"Przemyski";0,055;0,498;-0,969;1,293;-0,053;0,306;-0,596;0,234;0,808;0,129;0,509;0,983;0,914;0,094;0,66;0,999;0,924;0,125;0,71;1,205
"Żyrardowski";0,088;0,589;-1,152;1,556;-0,024;0,246;-0,349;0,224;0,797;0,125;0,505;0,979;0,934;0,079;0,724;0,999;0,91;0,123;0,704;1,187
"Ciechanowski";0,066;0,528;-0,97;1,442;-0,067;0,321;-0,826;0,219;0,804;0,127;0,505;0,985;0,923;0,089;0,665;0,999;0,929;0,127;0,718;1,2
"Płocki";0,062;0,599;-1,242;1,564;-0,049;0,311;-0,645;0,228;0,8;0,128;0,508;0,985;0,931;0,083;0,693;0,999;0,923;0,123;0,715;1,193
