"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"24";-0,25;0,178;-0,617;0,084;1,654;0,266;1,17;2,206;0,889;0,048;0,778;0,965;0,888;0,06;0,748;0,975;0,61;0,124;0,419;0,902
"19";-0,735;0,203;-1,131;-0,332;2,594;0,322;1,947;3,217;0,855;0,05;0,748;0,94;0,814;0,074;0,646;0,93;1,206;0,25;0,821;1,787
"10";-1,03;0,485;-1,97;-0,047;4,198;0,695;2,853;5,572;0,905;0,049;0,788;0,977;0,803;0,084;0,619;0,946;6,296;1,565;3,939;10,044
"39";-1,175;0,26;-1,673;-0,602;0,696;0,233;0,294;1,202;0,846;0,071;0,684;0,959;0,931;0,048;0,807;0,994;0,742;0,158;0,489;1,108
"42";0,028;0,127;-0,217;0,278;2,423;0,355;1,733;3,129;0,949;0,028;0,88;0,989;0,872;0,081;0,686;0,982;0,678;0,131;0,47;0,986
"31";0,344;0,608;-0,317;2,562;2,883;0,861;0,357;4,387;0,915;0,059;0,764;0,985;0,851;0,098;0,614;0,981;2,615;0,549;1,733;3,857
"53";0,559;0,368;-0,247;1,189;2,34;0,304;1,829;3,013;0,851;0,076;0,674;0,963;0,924;0,056;0,777;0,991;1,033;0,215;0,692;1,518
"01";-0,265;0,133;-0,511;-0,013;2,642;1,075;0,827;5,287;0,954;0,034;0,88;0,994;0,894;0,092;0,662;0,996;0,575;0,118;0,387;0,842
"05";-0,73;0,171;-1,041;-0,37;2,158;0,348;1,553;2,772;0,875;0,047;0,772;0,956;0,742;0,101;0,525;0,918;0,933;0,248;0,622;1,56
"35";-1,896;0,424;-2,582;-0,725;0,496;0,764;-0,112;3,496;0,822;0,081;0,65;0,972;0,879;0,059;0,745;0,967;1,137;0,362;0,68;2,183
"48";-1,404;0,277;-1,934;-0,839;2,552;0,234;2,098;3,018;0,875;0,057;0,742;0,965;0,913;0,042;0,815;0,976;1,457;0,29;1,004;2,14
"06";-0,243;0,198;-0,618;0,146;1,957;0,211;1,552;2,382;0,893;0,057;0,764;0,977;0,901;0,06;0,76;0,985;0,806;0,192;0,489;1,249
"21";-0,287;0,15;-0,572;0,011;2,5;0,562;1,483;3,682;0,945;0,031;0,87;0,988;0,836;0,101;0,603;0,977;0,926;0,192;0,616;1,373
"13";-0,631;0,218;-1,045;-0,197;1,439;0,237;1,02;1,977;0,905;0,049;0,79;0,976;0,959;0,037;0,861;0,999;0,783;0,15;0,541;1,116
"55";0,232;0,964;-1,53;2,516;1,576;1,947;-0,644;5,447;0,869;0,117;0,588;0,993;0,901;0,086;0,676;0,997;0,932;0,235;0,537;1,438
"41";-0,118;0,23;-0,565;0,308;2,473;0,546;1,619;3,65;0,933;0,04;0,835;0,987;0,883;0,072;0,71;0,982;1,093;0,224;0,734;1,618
"29";-0,465;0,189;-0,831;-0,097;2,64;0,775;1,302;4,386;0,944;0,033;0,863;0,988;0,851;0,094;0,627;0,982;1,37;0,272;0,949;2,017
