"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Maryland";-0,003;0,018;-0,039;0,031;-1,794;0,174;-2,136;-1,457;0,989;0,006;0,973;0,998;0,846;0,096;0,618;0,979;0,086;0,007;0,073;0,102
"Iowa";-0,83;0,076;-0,981;-0,681;0,065;0,021;0,024;0,106;0,902;0,054;0,77;0,98;0,988;0,007;0,97;0,997;0,096;0,008;0,081;0,114
"Delaware";0,569;0,594;0,046;1,785;-0,301;0,314;-0,902;0,034;0,903;0,096;0,646;0,993;0,949;0,049;0,818;0,998;0,155;0,015;0,128;0,185
"Ohio";0,17;0,043;0,089;0,259;-0,42;0,086;-0,596;-0,252;0,96;0,018;0,92;0,987;0,927;0,033;0,85;0,976;0,225;0,021;0,188;0,268
"Pennsylvania";4,516;0,318;3,911;5,148;0,015;0,02;-0,024;0,054;0,729;0,127;0,444;0,931;0,993;0,005;0,98;0,999;0,106;0,009;0,089;0,126
"Nebraska";0,086;0,023;0,041;0,13;-1,352;0,086;-1,523;-1,187;0,984;0,008;0,966;0,995;0,938;0,042;0,834;0,992;0,124;0,011;0,105;0,147
"Washington";0,003;0,026;-0,04;0,043;4,959;0,715;4,27;5,646;0,989;0,008;0,97;0,998;0,82;0,111;0,555;0,975;0,101;0,015;0,083;0,123
"Alabama";0,295;0,091;0,115;0,473;-0,322;0,093;-0,555;-0,192;0,934;0,03;0,862;0,977;0,96;0,025;0,896;0,99;0,203;0,018;0,17;0,242
"Arkansas";0,071;0,023;0,026;0,116;-0,579;0,055;-0,687;-0,47;0,976;0,011;0,95;0,992;0,943;0,031;0,87;0,988;0,098;0,009;0,083;0,116
"New Mexico";0,277;0,042;0,201;0,367;-0,3;0,042;-0,38;-0,215;0,959;0,019;0,913;0,987;0,958;0,018;0,916;0,986;0,126;0,012;0,105;0,15
"Texas";-0,124;0,035;-0,19;-0,037;0,415;0,179;0,257;1,126;0,956;0,018;0,914;0,986;0,908;0,043;0,811;0,972;0,116;0,011;0,096;0,14
"California";1,699;0,18;1,18;1,977;-0,033;0,027;-0,088;0,02;0,896;0,067;0,734;0,986;0,992;0,006;0,978;0,999;0,167;0,015;0,14;0,198
"Kentucky";0,011;0,035;-0,059;0,08;-2,988;0,309;-3,604;-2,379;0,989;0,006;0,973;0,998;0,856;0,089;0,649;0,98;0,328;0,029;0,277;0,39
"Georgia";0,639;0,072;0,489;0,777;-0,11;0,022;-0,154;-0,067;0,873;0,052;0,756;0,956;0,982;0,009;0,961;0,995;0,108;0,009;0,091;0,127
"Wisconsin";0,074;0,037;-0,001;0,143;-0,816;0,224;-1,382;-0,532;0,98;0,01;0,957;0,995;0,918;0,051;0,795;0,991;0,206;0,019;0,172;0,247
"Oregon";1,297;0,153;0,973;1,581;-0,099;0,025;-0,148;-0,05;0,783;0,085;0,598;0,92;0,984;0,008;0,965;0,995;0,14;0,012;0,118;0,165
"Missouri";-0,45;0,089;-0,625;-0,293;0,134;0,041;0,056;0,22;0,897;0,038;0,811;0,959;0,963;0,017;0,922;0,989;0,128;0,012;0,107;0,155
"Virginia";0,024;0,02;-0,016;0,065;-2,597;0,316;-3,211;-1,989;0,989;0,006;0,974;0,998;0,818;0,112;0,544;0,973;0,105;0,009;0,088;0,123
"Tennessee";4,901;0,396;4,113;5,704;-0,017;0,026;-0,067;0,034;0,731;0,131;0,437;0,936;0,993;0,005;0,979;0,999;0,177;0,015;0,15;0,21
"Louisiana";3,889;0,404;3,121;4,681;-0,047;0,046;-0,141;0,045;0,766;0,113;0,509;0,944;0,993;0,005;0,98;0,999;0,556;0,049;0,468;0,659
"New York";2,265;0,24;1,822;2,701;-0,028;0,026;-0,079;0,022;0,848;0,09;0,64;0,979;0,99;0,006;0,975;0,998;0,168;0,015;0,14;0,199
"Michigan";7,271;0,474;6,346;8,194;0,01;0,043;-0,073;0,094;0,749;0,121;0,483;0,94;0,993;0,005;0,98;0,999;0,5;0,045;0,419;0,597
"Idaho";-0,009;0,029;-0,065;0,047;-1,241;0,179;-1,582;-0,91;0,983;0,008;0,964;0,995;0,881;0,071;0,71;0,982;0,182;0,016;0,153;0,217
"Florida";0,749;0,06;0,636;0,875;-0,179;0,027;-0,234;-0,126;0,933;0,033;0,857;0,982;0,985;0,009;0,964;0,997;0,133;0,012;0,112;0,159
"Illinois";-0,004;0,03;-0,062;0,054;1,955;0,166;1,64;2,296;0,987;0,007;0,97;0,997;0,932;0,062;0,776;0,998;0,235;0,021;0,197;0,28
"Montana";0,057;0,023;0,013;0,101;-0,822;0,06;-0,94;-0,707;0,979;0,009;0,957;0,993;0,939;0,035;0,855;0,988;0,106;0,009;0,089;0,126
"Minnesota";0,082;0,021;0,043;0,123;-0,583;0,079;-0,73;-0,414;0,982;0,009;0,96;0,995;0,932;0,045;0,821;0,991;0,084;0,007;0,071;0,1
"Indiana";5,814;0,405;5,025;6,602;-0,002;0,026;-0,053;0,048;0,729;0,127;0,446;0,933;0,993;0,005;0,979;0,999;0,179;0,016;0,149;0,213
"Massachusetts";5,701;0,657;3,546;6,547;0,036;0,024;-0,011;0,083;0,728;0,128;0,451;0,936;0,992;0,006;0,978;0,999;0,143;0,013;0,119;0,171
"Kansas";-1,625;0,534;-2,429;-0,448;0,012;0,03;-0,039;0,08;0,768;0,13;0,485;0,964;0,99;0,006;0,975;0,999;0,135;0,012;0,114;0,16
"Nevada";0,068;0,063;-0,055;0,189;6,575;0,971;4,953;8,336;0,985;0,007;0,968;0,996;0,794;0,105;0,549;0,953;0,985;0,104;0,798;1,204
"Vermont";0,051;0,031;-0,011;0,113;-1,274;0,127;-1,529;-1,023;0,984;0,008;0,966;0,996;0,933;0,045;0,821;0,991;0,223;0,02;0,187;0,265
"Connecticut";0,609;0,068;0,478;0,747;-0,043;0,021;-0,085;-0,002;0,903;0,046;0,797;0,973;0,983;0,009;0,962;0,995;0,096;0,009;0,081;0,114
"New Jersey";3,913;0,215;3,491;4,335;-0,001;0,026;-0,053;0,05;0,716;0,117;0,466;0,914;0,989;0,006;0,973;0,998;0,18;0,016;0,151;0,214
"North Carolina";0,981;0,096;0,799;1,164;-0,125;0,032;-0,186;-0,064;0,887;0,048;0,777;0,961;0,983;0,009;0,963;0,995;0,215;0,019;0,18;0,256
"Utah";0,044;0,024;-0,003;0,091;-1,293;0,086;-1,468;-1,129;0,984;0,008;0,964;0,996;0,934;0,045;0,823;0,992;0,137;0,012;0,116;0,164
"North Dakota";0,108;0,034;0,05;0,179;-1,085;0,188;-1,369;-0,738;0,982;0,009;0,96;0,995;0,907;0,05;0,788;0,977;0,12;0,011;0,101;0,144
"South Carolina";0,468;0,049;0,369;0,563;-0,271;0,032;-0,334;-0,209;0,909;0,03;0,842;0,959;0,959;0,017;0,922;0,984;0,131;0,012;0,109;0,157
"Mississippi";0,796;0,173;0,496;1,215;-0,132;0,044;-0,221;-0,05;0,885;0,054;0,756;0,966;0,982;0,011;0,953;0,996;0,295;0,026;0,248;0,348
"Colorado";0,859;0,085;0,697;1,028;-0,117;0,028;-0,173;-0,063;0,881;0,047;0,774;0,956;0,973;0,011;0,947;0,99;0,137;0,012;0,115;0,163
"South Dakota";0,07;0,022;0,027;0,114;-1,234;0,095;-1,43;-1,052;0,984;0,008;0,965;0,996;0,935;0,044;0,828;0,992;0,111;0,01;0,094;0,132
"Oklahoma";0,244;0,048;0,153;0,34;-0,272;0,047;-0,374;-0,188;0,945;0,023;0,89;0,979;0,955;0,021;0,904;0,986;0,146;0,013;0,123;0,174
