"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,641;0,057;0,524;0,75;-0,066;0,061;-0,196;0,046;0,956;0,025;0,896;0,991;0,965;0,025;0,904;0,996;0,129;0,017;0,1;0,169
"Miasto Szczecin";0,29;0,078;0,128;0,426;-0,633;0,106;-0,882;-0,469;0,949;0,027;0,885;0,989;0,948;0,032;0,867;0,991;0,174;0,026;0,131;0,231
"Bialski";0,125;0,097;-0,02;0,352;-0,423;0,096;-0,617;-0,248;0,938;0,039;0,839;0,987;0,955;0,033;0,874;0,995;0,154;0,022;0,117;0,202
"Łomżyński";-0,118;0,226;-0,398;0,241;-0,082;0,151;-0,363;0,148;0,91;0,075;0,691;0,989;0,946;0,048;0,828;0,997;0,122;0,018;0,092;0,161
"Wrocławski";-0,001;0,043;-0,085;0,085;-0,883;0,13;-1,137;-0,627;0,971;0,017;0,93;0,994;0,912;0,058;0,766;0,988;0,161;0,022;0,124;0,209
"Nowotarski";0,592;0,06;0,477;0,709;-0,395;0,048;-0,488;-0,3;0,942;0,032;0,864;0,987;0,974;0,018;0,927;0,996;0,143;0,019;0,11;0,186
"Oświęcimski";0,219;0,052;0,113;0,32;-0,84;0,064;-0,971;-0,717;0,96;0,023;0,905;0,991;0,962;0,026;0,897;0,995;0,172;0,024;0,13;0,223
"Zielonogórski";-0,049;0,073;-0,178;0,102;-0,952;0,082;-1,107;-0,785;0,947;0,029;0,878;0,989;0,956;0,027;0,889;0,993;0,173;0,024;0,132;0,226
"Kaliski";0,15;0,052;0,047;0,256;-0,343;0,06;-0,461;-0,225;0,947;0,029;0,875;0,989;0,943;0,034;0,857;0,99;0,119;0,017;0,091;0,156
"Poznański";0,261;0,23;-0,109;0,482;0,119;0,15;-0,101;0,408;0,913;0,061;0,752;0,981;0,942;0,042;0,84;0,994;0,115;0,017;0,086;0,153
"Siedlecki";0,335;0,086;0,192;0,539;-0,265;0,052;-0,363;-0,165;0,926;0,042;0,822;0,985;0,974;0,019;0,924;0,998;0,124;0,017;0,094;0,163
"Ostrołęcki";-0,011;0,134;-0,254;0,253;-0,636;0,07;-0,797;-0,519;0,903;0,053;0,775;0,977;0,958;0,027;0,888;0,992;0,169;0,023;0,131;0,222
"Białostocki";0,38;0,066;0,251;0,51;-0,496;0,044;-0,582;-0,41;0,932;0,037;0,847;0,985;0,975;0,017;0,933;0,997;0,133;0,018;0,102;0,172
