"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Maryland";0,665;0,176;0,324;1,014;2,709;0,258;2,239;3,218;0,881;0,053;0,757;0,964;0,827;0,073;0,663;0,945;0,676;0,158;0,434;1,047
"Iowa";-0,143;0,309;-0,739;0,464;3,172;0,47;2,295;4,172;0,872;0,058;0,742;0,961;0,823;0,075;0,652;0,944;2,202;0,508;1,419;3,433
"Delaware";-0,966;0,617;-2,055;0,406;4,672;0,623;3,481;5,944;0,872;0,054;0,753;0,962;0,812;0,074;0,655;0,933;7,506;2,038;4,729;12,6
"Ohio";-0,002;0,255;-0,52;0,479;2,075;0,281;1,581;2,706;0,871;0,061;0,729;0,961;0,894;0,056;0,764;0,974;1,029;0,211;0,696;1,512
"Pennsylvania";0,744;0,253;0,274;1,181;4,115;0,632;2,746;5,258;0,944;0,036;0,856;0,989;0,869;0,081;0,677;0,981;2,286;0,437;1,583;3,287
"Nebraska";0,739;0,531;-0,292;1,696;3,104;0,625;1,826;4,379;0,848;0,091;0,637;0,975;0,806;0,092;0,603;0,962;2,621;0,707;1,514;4,18
"Washington";2,202;0,166;1,89;2,545;5,16;0,334;4,538;5,896;0,91;0,039;0,818;0,972;0,83;0,08;0,646;0,952;0,956;0,195;0,648;1,412
"Alabama";-0,753;0,293;-1,26;-0,084;1,175;0,124;0,95;1,438;0,754;0,094;0,552;0,914;0,913;0,042;0,816;0,976;0,424;0,097;0,278;0,666
"Arkansas";0,061;0,214;-0,353;0,5;2,86;0,395;2,091;3,662;0,898;0,044;0,798;0,965;0,804;0,084;0,617;0,938;1,369;0,295;0,922;2,046
"New Mexico";-0,848;0,233;-1,32;-0,387;2,143;0,4;1,342;2,933;0,894;0,048;0,781;0,967;0,852;0,069;0,698;0,959;1,56;0,322;1,055;2,305
"Texas";-0,43;0,306;-1,016;0,194;4,149;0,24;3,681;4,612;0,876;0,056;0,751;0,965;0,913;0,041;0,814;0,977;1,827;0,364;1,248;2,636
"California";0,5;0,646;-1,016;1,317;2,77;0,582;1,855;3,99;0,884;0,082;0,667;0,982;0,89;0,067;0,731;0,982;1,564;0,336;0,995;2,321
"Kentucky";0,448;0,241;-0,041;0,892;2,759;0,581;1,843;4,09;0,924;0,046;0,807;0,985;0,832;0,087;0,627;0,964;1,373;0,283;0,921;2,035
