"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Maryland";0,217;0,042;0,135;0,299;-0,48;0,064;-0,612;-0,358;0,951;0,017;0,912;0,978;0,919;0,029;0,853;0,965;0,169;0,015;0,143;0,2
"Iowa";1,149;0,092;0,97;1,329;-0,028;0,02;-0,066;0,013;0,842;0,072;0,67;0,951;0,988;0,007;0,972;0,998;0,101;0,009;0,085;0,12
"Delaware";0,885;0,083;0,728;1,054;-0,165;0,034;-0,234;-0,098;0,905;0,037;0,821;0,964;0,976;0,011;0,951;0,992;0,203;0,018;0,17;0,242
"Ohio";0,358;0,045;0,276;0,452;-0,447;0,055;-0,554;-0,331;0,947;0,019;0,905;0,977;0,944;0,023;0,892;0,979;0,176;0,016;0,147;0,208
"Pennsylvania";2,687;0,174;2,339;3,017;0,025;0,019;-0,013;0,063;0,784;0,106;0,552;0,949;0,993;0,005;0,979;0,999;0,106;0,009;0,089;0,124
"Nebraska";0,052;0,018;0,016;0,087;-0,609;0,095;-0,891;-0,468;0,982;0,009;0,962;0,995;0,925;0,051;0,796;0,99;0,072;0,006;0,06;0,085
"Washington";0,2;0,046;0,133;0,314;-0,458;0,073;-0,583;-0,305;0,968;0,018;0,922;0,992;0,958;0,024;0,901;0,994;0,105;0,01;0,087;0,124
"Alabama";1,403;0,113;1,179;1,62;-0,229;0,036;-0,299;-0,161;0,889;0,05;0,772;0,964;0,985;0,008;0,965;0,997;0,28;0,025;0,234;0,332
"Arkansas";0,227;0,027;0,175;0,279;-0,45;0,033;-0,516;-0,385;0,967;0,015;0,932;0,989;0,953;0,02;0,906;0,984;0,096;0,009;0,081;0,114
"New Mexico";0,336;0,042;0,254;0,42;-0,514;0,057;-0,627;-0,407;0,966;0,015;0,932;0,989;0,945;0,024;0,892;0,981;0,213;0,02;0,18;0,256
