Series ID,Year,Period,Label,Value,1-Month % Change
LASST010000000000003,2005,M01,2005 Jan,5.1,-1.9
LASST010000000000003,2005,M02,2005 Feb,4.9,-3.9
LASST010000000000003,2005,M03,2005 Mar,4.8,-2.0
LASST010000000000003,2005,M04,2005 Apr,4.6,-4.2
LASST010000000000003,2005,M05,2005 May,4.5,-2.2
LASST010000000000003,2005,M06,2005 Jun,4.4,-2.2
LASST010000000000003,2005,M07,2005 Jul,4.4,0.0
LASST010000000000003,2005,M08,2005 Aug,4.3,-2.3
LASST010000000000003,2005,M09,2005 Sep,4.3,0.0
LASST010000000000003,2005,M10,2005 Oct,4.3,0.0
LASST010000000000003,2005,M11,2005 Nov,4.2,-2.3
LASST010000000000003,2005,M12,2005 Dec,4.2,0.0
LASST010000000000003,2006,M01,2006 Jan,4.1,-2.4
LASST010000000000003,2006,M02,2006 Feb,4.1,0.0
LASST010000000000003,2006,M03,2006 Mar,4.1,0.0
LASST010000000000003,2006,M04,2006 Apr,4.1,0.0
LASST010000000000003,2006,M05,2006 May,4.1,0.0
LASST010000000000003,2006,M06,2006 Jun,4.1,0.0
LASST010000000000003,2006,M07,2006 Jul,4.1,0.0
LASST010000000000003,2006,M08,2006 Aug,4.1,0.0
LASST010000000000003,2006,M09,2006 Sep,4.1,0.0
LASST010000000000003,2006,M10,2006 Oct,4.0,-2.4
LASST010000000000003,2006,M11,2006 Nov,4.0,0.0
LASST010000000000003,2006,M12,2006 Dec,3.9,-2.5
LASST010000000000003,2007,M01,2007 Jan,3.9,0.0
LASST010000000000003,2007,M02,2007 Feb,3.8,-2.6
LASST010000000000003,2007,M03,2007 Mar,3.8,0.0
LASST010000000000003,2007,M04,2007 Apr,3.8,0.0
LASST010000000000003,2007,M05,2007 May,3.8,0.0
LASST010000000000003,2007,M06,2007 Jun,3.8,0.0
LASST010000000000003,2007,M07,2007 Jul,3.9,2.6
LASST010000000000003,2007,M08,2007 Aug,4.0,2.6
LASST010000000000003,2007,M09,2007 Sep,4.1,2.5
LASST010000000000003,2007,M10,2007 Oct,4.2,2.4
LASST010000000000003,2007,M11,2007 Nov,4.3,2.4
LASST010000000000003,2007,M12,2007 Dec,4.3,0.0
LASST010000000000003,2008,M01,2008 Jan,4.4,2.3
LASST010000000000003,2008,M02,2008 Feb,4.5,2.3
LASST010000000000003,2008,M03,2008 Mar,4.6,2.2
LASST010000000000003,2008,M04,2008 Apr,4.8,4.3
LASST010000000000003,2008,M05,2008 May,5.1,6.3
LASST010000000000003,2008,M06,2008 Jun,5.3,3.9
LASST010000000000003,2008,M07,2008 Jul,5.6,5.7
LASST010000000000003,2008,M08,2008 Aug,5.9,5.4
LASST010000000000003,2008,M09,2008 Sep,6.2,5.1
LASST010000000000003,2008,M10,2008 Oct,6.7,8.1
LASST010000000000003,2008,M11,2008 Nov,7.4,10.4
LASST010000000000003,2008,M12,2008 Dec,8.1,9.5
LASST010000000000003,2009,M01,2009 Jan,8.9,9.9
LASST010000000000003,2009,M02,2009 Feb,9.6,7.9
LASST010000000000003,2009,M03,2009 Mar,10.2,6.3
LASST010000000000003,2009,M04,2009 Apr,10.7,4.9
LASST010000000000003,2009,M05,2009 May,11.0,2.8
LASST010000000000003,2009,M06,2009 Jun,11.3,2.7
LASST010000000000003,2009,M07,2009 Jul,11.5,1.8
LASST010000000000003,2009,M08,2009 Aug,11.6,0.9
LASST010000000000003,2009,M09,2009 Sep,11.7,0.9
LASST010000000000003,2009,M10,2009 Oct,11.8,0.9
LASST010000000000003,2009,M11,2009 Nov,11.8,0.0
LASST010000000000003,2009,M12,2009 Dec,11.8,0.0
LASST010000000000003,2010,M01,2010 Jan,11.7,-0.8
LASST010000000000003,2010,M02,2010 Feb,11.6,-0.9
LASST010000000000003,2010,M03,2010 Mar,11.4,-1.7
LASST010000000000003,2010,M04,2010 Apr,10.8,-5.3
LASST010000000000003,2010,M05,2010 May,10.4,-3.7
LASST010000000000003,2010,M06,2010 Jun,10.1,-2.9
LASST010000000000003,2010,M07,2010 Jul,10.0,-1.0
LASST010000000000003,2010,M08,2010 Aug,9.9,-1.0
LASST010000000000003,2010,M09,2010 Sep,10.0,1.0
LASST010000000000003,2010,M10,2010 Oct,10.1,1.0
LASST010000000000003,2010,M11,2010 Nov,10.2,1.0
LASST010000000000003,2010,M12,2010 Dec,10.3,1.0
LASST010000000000003,2011,M01,2011 Jan,10.2,-1.0
LASST010000000000003,2011,M02,2011 Feb,10.2,0.0
LASST010000000000003,2011,M03,2011 Mar,10.1,-1.0
LASST010000000000003,2011,M04,2011 Apr,10.0,-1.0
LASST010000000000003,2011,M05,2011 May,10.0,0.0
LASST010000000000003,2011,M06,2011 Jun,10.0,0.0
LASST010000000000003,2011,M07,2011 Jul,9.9,-1.0
LASST010000000000003,2011,M08,2011 Aug,9.7,-2.0
LASST010000000000003,2011,M09,2011 Sep,9.4,-3.1
LASST010000000000003,2011,M10,2011 Oct,9.0,-4.3
LASST010000000000003,2011,M11,2011 Nov,8.6,-4.4
LASST010000000000003,2011,M12,2011 Dec,8.3,-3.5
LASST010000000000003,2012,M01,2012 Jan,8.1,-2.4
LASST010000000000003,2012,M02,2012 Feb,7.9,-2.5
LASST010000000000003,2012,M03,2012 Mar,8.0,1.3
LASST010000000000003,2012,M04,2012 Apr,8.1,1.3
LASST010000000000003,2012,M05,2012 May,8.2,1.2
LASST010000000000003,2012,M06,2012 Jun,8.3,1.2
LASST010000000000003,2012,M07,2012 Jul,8.2,-1.2
LASST010000000000003,2012,M08,2012 Aug,8.1,-1.2
LASST010000000000003,2012,M09,2012 Sep,7.9,-2.5
LASST010000000000003,2012,M10,2012 Oct,7.8,-1.3
LASST010000000000003,2012,M11,2012 Nov,7.6,-2.6
LASST010000000000003,2012,M12,2012 Dec,7.6,0.0
LASST010000000000003,2013,M01,2013 Jan,7.5,-1.3
LASST010000000000003,2013,M02,2013 Feb,7.4,-1.3
LASST010000000000003,2013,M03,2013 Mar,7.3,-1.4
LASST010000000000003,2013,M04,2013 Apr,7.2,-1.4
LASST010000000000003,2013,M05,2013 May,7.1,-1.4
LASST010000000000003,2013,M06,2013 Jun,7.0,-1.4
LASST010000000000003,2013,M07,2013 Jul,7.1,1.4
LASST010000000000003,2013,M08,2013 Aug,7.1,0.0
LASST010000000000003,2013,M09,2013 Sep,7.2,1.4
LASST010000000000003,2013,M10,2013 Oct,7.2,0.0
LASST010000000000003,2013,M11,2013 Nov,7.2,0.0
LASST010000000000003,2013,M12,2013 Dec,7.3,1.4
LASST010000000000003,2014,M01,2014 Jan,7.2,-1.4
LASST010000000000003,2014,M02,2014 Feb,7.2,0.0
LASST010000000000003,2014,M03,2014 Mar,7.2,0.0
LASST010000000000003,2014,M04,2014 Apr,7.1,-1.4
LASST010000000000003,2014,M05,2014 May,7.0,-1.4
LASST010000000000003,2014,M06,2014 Jun,6.9,-1.4
LASST010000000000003,2014,M07,2014 Jul,6.7,-2.9
LASST010000000000003,2014,M08,2014 Aug,6.6,-1.5
LASST010000000000003,2014,M09,2014 Sep,6.5,-1.5
LASST010000000000003,2014,M10,2014 Oct,6.4,-1.5
LASST010000000000003,2014,M11,2014 Nov,6.2,-3.1
LASST010000000000003,2014,M12,2014 Dec,6.1,-1.6
LASST010000000000003,2015,M01,2015 Jan,6.0,-1.6
