"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wroclaw";-0,22;0,07;-0,35;-0,08;0,64;0,05;0,55;0,73;0,94;0,04;0,85;0,99;0,97;0,02;0,93;1;0,13;0,02;0,1;0,17
"Miasto Szczecin";0,33;0,05;0,24;0,43;-0,51;0,09;-0,68;-0,35;0,95;0,02;0,9;0,99;0,93;0,04;0,82;0,98;0,15;0,02;0,12;0,2
"Bialski";-0,19;0,27;-0,63;0,12;-0,19;0,27;-0,64;0,12;0,91;0,07;0,73;0,99;0,94;0,06;0,78;1;0,12;0,02;0,09;0,15
"Lomzynski";0,39;0,05;0,29;0,5;-0,21;0,05;-0,32;-0,11;0,95;0,03;0,88;0,99;0,97;0,02;0,91;1;0,13;0,02;0,1;0,17
"Wroclawski";0,03;0,05;-0,06;0,12;-0,9;0,11;-1,13;-0,69;0,97;0,02;0,93;0,99;0,91;0,05;0,79;0,99;0,16;0,02;0,12;0,21
"Nowotarski";0,57;0,05;0,47;0,68;-0,15;0,04;-0,24;-0,06;0,94;0,03;0,87;0,99;0,97;0,02;0,93;1;0,12;0,02;0,09;0,15
"Oswiecimski";0,27;0,05;0,18;0,37;-0,56;0,06;-0,68;-0,44;0,96;0,02;0,9;0,99;0,96;0,03;0,89;1;0,15;0,02;0,12;0,2
"Zielonogorski";-0,13;0,05;-0,22;-0,03;-0,77;0,07;-0,89;-0,64;0,96;0,02;0,9;0,99;0,96;0,03;0,88;0,99;0,14;0,02;0,11;0,19
"Kaliski";0,31;0,06;0,19;0,43;-0,36;0,06;-0,48;-0,24;0,94;0,03;0,87;0,99;0,96;0,03;0,89;0,99;0,13;0,02;0,1;0,17
"Poznanski";-0,08;0,25;-0,41;0,23;0,01;0,21;-0,36;0,18;0,89;0,08;0,68;0,99;0,95;0,05;0,79;1;0,11;0,02;0,08;0,14
"Siedlecki";0,39;0,08;0,26;0,55;-0,06;0,04;-0,14;0,02;0,92;0,05;0,81;0,98;0,98;0,02;0,94;1;0,11;0,01;0,08;0,14
"Ostrolecki";-0,41;0,3;-0,92;0,03;-0,3;0,22;-0,83;-0,06;0,87;0,09;0,66;0,98;0,94;0,06;0,79;1;0,13;0,02;0,1;0,18
"Bialostocki";0,2;0,07;0,08;0,35;-0,24;0,06;-0,36;-0,12;0,93;0,04;0,83;0,99;0,95;0,03;0,88;0,99;0,12;0,02;0,09;0,16
"Miasto Krakow";0,71;0,08;0,58;0,9;0,15;0,06;0,03;0,28;0,94;0,04;0,85;0,99;0,97;0,02;0,91;1;0,14;0,02;0,11;0,18
"Olsztynski";0,06;0,06;-0,05;0,17;-0,48;0,05;-0,58;-0,39;0,94;0,03;0,85;0,99;0,97;0,02;0,91;1;0,13;0,02;0,1;0,16
"Elcki";0,31;0,1;0,1;0,51;-1,12;0,07;-1,26;-1;0,93;0,04;0,85;0,99;0,97;0,02;0,92;0,99;0,26;0,04;0,2;0,34
"Trojmiejski";0,83;0,07;0,69;0,96;0,21;0,06;0,08;0,32;0,95;0,03;0,87;0,99;0,97;0,02;0,91;1;0,14;0,02;0,1;0,18
"Gdanski";0,19;0,06;0,08;0,31;-0,45;0,07;-0,59;-0,31;0,95;0,03;0,88;0,99;0,96;0,03;0,88;0,99;0,15;0,02;0,11;0,19
"Slupski";0,08;0,06;-0,03;0,19;-1,35;0,09;-1,52;-1,18;0,96;0,02;0,91;0,99;0,96;0,03;0,88;0,99;0,22;0,03;0,17;0,29
"Opolski";0,44;0,09;0,28;0,61;0;0,11;-0,11;0,1;0,92;0,05;0,81;0,98;0,96;0,03;0,9;1;0,12;0,02;0,09;0,16
"Bydgosko-torunski";0,4;0,05;0,3;0,5;-0,26;0,09;-0,43;-0,09;0,95;0,02;0,9;0,99;0,94;0,04;0,84;0,99;0,14;0,02;0,11;0,19
"Radomski";0;0,07;-0,13;0,16;-0,74;0,07;-0,87;-0,62;0,95;0,03;0,87;0,99;0,97;0,02;0,91;1;0,16;0,02;0,12;0,21
"Skierniewicki";-0,28;0,27;-0,68;0,11;-0,13;0,24;-0,64;0,11;0,91;0,07;0,73;0,99;0,96;0,04;0,83;1;0,12;0,02;0,09;0,15
"Kielecki";0,11;0,06;0;0,23;-0,57;0,07;-0,71;-0,44;0,94;0,03;0,87;0,99;0,95;0,03;0,87;0,99;0,15;0,02;0,11;0,19
"Sandomiersko-jedrzejowski";0,26;0,06;0,14;0,37;-0,32;0,07;-0,47;-0,18;0,93;0,03;0,85;0,98;0,92;0,04;0,83;0,98;0,14;0,02;0,1;0,18
"Nyski";0,18;0,08;0,03;0,33;-1,3;0,09;-1,49;-1,13;0,94;0,03;0,88;0,98;0,94;0,03;0,87;0,99;0,29;0,04;0,22;0,37
"Pulawski";-0,05;0,31;-0,55;0,43;-0,03;0,2;-0,43;0,2;0,87;0,09;0,64;0,98;0,94;0,06;0,78;1;0,13;0,02;0,1;0,17
"Wloclawski";0,06;0,06;-0,06;0,19;-1,04;0,09;-1,22;-0,88;0,95;0,03;0,88;0,99;0,94;0,03;0,86;0,99;0,21;0,03;0,16;0,28
"Lodzki";0,39;0,18;0;0,68;-0,54;0,09;-0,78;-0,42;0,91;0,05;0,78;0,98;0,99;0,02;0,94;1;0,2;0,03;0,15;0,26
"Chojnicki";-0,03;0,06;-0,15;0,1;-0,72;0,07;-0,86;-0,58;0,94;0,03;0,87;0,99;0,95;0,03;0,88;0,99;0,15;0,02;0,11;0,19
"Starogardzki";0,27;0,06;0,15;0,39;-1,4;0,08;-1,55;-1,25;0,96;0,02;0,9;0,99;0,96;0,03;0,9;0,99;0,24;0,03;0,18;0,31
"Miasto Lodz";0,54;0,06;0,41;0,67;-0,02;0,05;-0,12;0,07;0,92;0,04;0,82;0,98;0,96;0,02;0,91;0,99;0,12;0,02;0,09;0,16
"Leszczynski";-0,25;0,1;-0,45;-0,08;0,26;0,05;0,16;0,37;0,91;0,05;0,78;0,98;0,97;0,02;0,92;0,99;0,12;0,02;0,09;0,16
"Jeleniogorski";-0,15;0,1;-0,29;0,11;-1,04;0,15;-1,3;-0,72;0,96;0,02;0,9;0,99;0,93;0,04;0,84;0,99;0,2;0,03;0,15;0,26
"Legnicko-glogowski";0,28;0,07;0,14;0,43;-0,11;0,05;-0,2;-0,02;0,91;0,05;0,8;0,98;0,97;0,02;0,9;1;0,12;0,02;0,09;0,15
"Tarnobrzeski";0,2;0,11;0,01;0,43;-0,34;0,06;-0,46;-0,24;0,89;0,06;0,76;0,97;0,96;0,03;0,89;0,99;0,14;0,02;0,1;0,18
