"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,9;0,568;-0,232;2,036;9,957;1,01;7,979;11,925;0,924;0,052;0,797;0,99;0,8;0,121;0,516;0,971;8,895;2,862;4,974;15,862
"Miasto Szczecin";-0,2;0,6;-1,358;1,005;10;1,008;8,025;11,937;0,924;0,051;0,798;0,991;0,796;0,123;0,507;0,972;9,635;3,048;5,431;17,288
"Bialski";0,208;0,624;-0,966;1,455;9,839;0,984;7,924;11,799;0,924;0,052;0,791;0,99;0,753;0,131;0,458;0,956;10,153;3,604;5,157;19,042
"Łomżynski";0,553;0,613;-0,617;1,784;9,953;1,002;7,99;11,921;0,925;0,05;0,802;0,99;0,787;0,126;0,492;0,968;10,767;3,459;5,945;19,438
"Wrocławski";1,809;0,694;0,402;3,09;9,772;1,023;7,694;11,785;0,897;0,071;0,708;0,988;0,762;0,131;0,477;0,964;13,473;4,662;7,312;25,166
"Nowotarski";0,559;0,524;-0,479;1,59;9,981;0,999;7,994;11,971;0,925;0,05;0,802;0,991;0,799;0,121;0,523;0,974;6,796;2,273;3,772;12,388
"Oświęcimski";-0,096;0,573;-1,193;1,1;9,967;1,007;8,009;11,93;0,927;0,049;0,809;0,991;0,799;0,118;0,527;0,972;8,435;2,624;4,776;14,669
"Zielonogórski";0,441;0,564;-0,642;1,574;9,947;1,023;7,856;11,971;0,924;0,05;0,8;0,991;0,796;0,119;0,514;0,97;8,443;2,682;4,719;14,991
"Kaliski";1,123;0,576;-0,039;2,248;9,959;1,011;7,974;11,997;0,922;0,052;0,8;0,99;0,797;0,122;0,512;0,972;8,906;2,849;4,965;15,892
"Poznański";1,81;0,601;0,593;2,935;9,942;1,028;7,914;11,933;0,919;0,055;0,784;0,99;0,785;0,126;0,501;0,967;10,135;3,317;5,617;18,437
"Siedlecki";0,964;0,694;-0,435;2,336;9,831;1,016;7,874;11,845;0,91;0,062;0,755;0,989;0,759;0,134;0,467;0,964;13,206;4,483;6,771;23,542
"Ostrołęcki";0,932;0,577;-0,166;2,072;9,983;1,019;8,013;11,976;0,924;0,051;0,802;0,991;0,793;0,122;0,508;0,968;8,981;2,869;5,095;15,718
"Białostocki";0,405;0,506;-0,589;1,405;9,998;1,013;8,007;12,02;0,926;0,049;0,804;0,991;0,799;0,122;0,506;0,973;6,558;2,07;3,656;11,5
"Miasto Kraków";0,745;0,644;-0,529;2,025;9,981;1,015;7,966;11,868;0,924;0,051;0,799;0,991;0,794;0,121;0,519;0,968;12,06;3,789;6,711;21,106
"Olsztyński";-0,07;0,498;-1,025;0,933;9,998;0,987;8,128;11,93;0,927;0,048;0,813;0,991;0,802;0,118;0,528;0,972;6,068;1,966;3,394;10,934
"Ełcki";0,193;0,603;-0,991;1,384;9,985;1,007;7,927;11,905;0,925;0,051;0,801;0,99;0,799;0,118;0,522;0,971;9,466;3,114;5,32;16,638
"Trójmiejski";0,533;0,646;-0,716;1,803;9,966;0,994;7,993;11,893;0,924;0,052;0,793;0,991;0,794;0,121;0,519;0,972;13,113;4,129;7,273;23,499
