"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";3,529;0,653;2,416;4,962;15,006;1,016;12,952;16,955;0,926;0,049;0,808;0,99;0,8;0,121;0,521;0,974;5,392;1,757;2,972;9,77
"Miasto Szczecin";2,902;0,844;1,459;4,751;15,018;1,012;12,995;16,984;0,927;0,049;0,807;0,991;0,798;0,122;0,513;0,968;7,8;2,501;4,364;13,996
"Bialski";3,901;1,002;1,97;5,923;14,866;1,052;12,765;16,914;0,926;0,05;0,805;0,99;0,783;0,127;0,496;0,968;9,882;3,575;4,536;18,571
"Łomżynski";4,014;0,83;2,562;5,843;14,982;1,02;12,954;16,963;0,926;0,049;0,806;0,991;0,799;0,121;0,519;0,972;9,154;2,846;5,133;16,233
"Wrocławski";5,92;0,795;4,466;7,589;14,956;1,007;12,958;16,934;0,921;0,052;0,791;0,99;0,796;0,121;0,511;0,97;11,717;3,893;6,235;20,978
"Nowotarski";2,564;0,556;1,595;3,817;15,003;1;12,975;16,933;0,927;0,048;0,806;0,99;0,8;0,119;0,522;0,971;3,554;1,142;1,984;6,335
"Oświęcimski";1,913;0,611;0,853;3,27;15,001;1,006;13,09;16,961;0,925;0,049;0,81;0,991;0,798;0,12;0,522;0,97;4,081;1,262;2,312;7,101
"Zielonogórski";3,179;0,714;1,936;4,718;15,007;0,968;13,146;16,842;0,926;0,05;0,797;0,991;0,801;0,12;0,53;0,969;6,023;1,893;3,353;10,693
"Kaliski";3,852;0,658;2,712;5,257;15;0,988;13,063;16,993;0,926;0,05;0,804;0,99;0,798;0,119;0,522;0,972;5,83;1,859;3,239;10,331
"Poznański";4,818;0,673;3,618;6,251;14,992;1,004;13,023;16,951;0,925;0,051;0,802;0,99;0,798;0,12;0,52;0,972;6,494;2,067;3,587;11,53
