"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";1,404;0,456;0,56;2,365;14,979;1,01;13,049;16,926;0,888;0,06;0,746;0,975;0,801;0,12;0,525;0,973;4,426;1,4;2,473;7,876
"Miasto Szczecin";0,196;0,523;-0,754;1,267;15,006;0,992;13,091;16,984;0,889;0,059;0,748;0,975;0,799;0,118;0,522;0,971;5,136;1,606;2,914;9,188
"Bialski";0,881;0,619;-0,258;2,161;14,57;1,123;12,318;16,772;0,887;0,06;0,747;0,976;0,772;0,129;0,485;0,968;6,717;2,414;3,162;12,638
"Łomżynski";1,161;0,545;0,139;2,302;14,983;0,983;13,137;16,938;0,889;0,06;0,747;0,976;0,801;0,12;0,53;0,971;6,446;2,022;3,602;11,292
"Wrocławski";2,946;0,596;1,81;4,16;14,89;1,017;12,926;16,919;0,882;0,061;0,74;0,972;0,79;0,125;0,503;0,971;9,325;2,97;5,103;16,709
"Nowotarski";0,781;0,341;0,14;1,471;14,979;1,006;12,966;16,926;0,89;0,059;0,751;0,976;0,799;0,122;0,509;0,973;2,213;0,695;1,244;3,886
"Oświęcimski";0,159;0,467;-0,696;1,137;15,01;1,005;13,077;17,025;0,887;0,059;0,751;0,974;0,802;0,12;0,527;0,971;3,933;1,244;2,227;7,072
"Zielonogórski";0,824;0,437;0,001;1,742;14,982;1,005;12,964;16,927;0,888;0,059;0,748;0,975;0,799;0,119;0,527;0,971;3,903;1,211;2,188;6,809
"Kaliski";1,679;0,449;0,837;2,61;14,953;1,016;12,922;16,919;0,889;0,059;0,751;0,976;0,801;0,12;0,522;0,97;4,368;1,384;2,429;7,763
"Poznański";2,612;0,492;1,634;3,581;14,999;0,998;13,024;16,936;0,89;0,058;0,755;0,974;0,799;0,121;0,524;0,973;5,507;1,749;3,018;9,818
"Siedlecki";1,966;0,615;0,792;3,232;14,939;1,032;12,918;16,939;0,884;0,063;0,735;0,974;0,793;0,124;0,501;0,973;9,8;3,194;5,317;17,706
"Ostrołęcki";1,481;0,461;0,615;2,426;14,993;0,995;12,974;16,899;0,889;0,059;0,747;0,974;0,798;0,12;0,522;0,971;4,551;1,428;2,574;7,948
"Białostocki";0,594;0,339;-0,042;1,299;14,974;1;13,064;16,973;0,889;0,059;0,751;0,975;0,799;0,122;0,514;0,973;2,192;0,7;1,23;3,936
"Miasto Kraków";1,453;0,556;0,387;2,628;15,005;0,994;13,013;16,914;0,888;0,06;0,749;0,976;0,799;0,123;0,513;0,973;7,289;2,317;4,121;12,659
"Olsztyński";-0,082;0,284;-0,614;0,484;15,02;1,012;13,063;17,003;0,89;0,06;0,749;0,977;0,802;0,119;0,529;0,973;1,443;0,457;0,802;2,547
"Ełcki";0,642;0,5;-0,278;1,681;14,993;1,007;13,025;16,983;0,889;0,059;0,743;0,976;0,799;0,121;0,518;0,971;5,058;1,624;2,757;8,944
"Trójmiejski";1,26;0,595;0,137;2,513;14,984;0,983;13,095;16,929;0,89;0,059;0,751;0,975;0,8;0,12;0,52;0,972;8,272;2,621;4,584;14,692
"Gdański";2,568;0,513;1,568;3,58;14,969;0,979;13,015;16,91;0,89;0,06;0,747;0,976;0,799;0,12;0,526;0,969;6,183;1,921;3,475;10,832
"Słupski";1,238;0,528;0,258;2,292;15,002;0,987;13,098;16,936;0,889;0,059;0,755;0,974;0,799;0,12;0,523;0,972;6,085;1,875;3,445;10,673
"Opolski";0,352;0,551;-0,661;1,527;14,726;0,925;12,907;16,505;0,846;0,069;0,685;0,954;0,728;0,129;0,442;0,932;5,826;1,821;3,328;10,374
"Bydgosko-Torunski";0,26;0,347;-0,366;1,002;15,024;0,986;13,036;16,975;0,888;0,061;0,741;0,976;0,798;0,123;0,509;0,973;2,207;0,692;1,249;3,851
"Radomski";0,496;0,404;-0,245;1,345;15,027;0,993;13,071;17,012;0,891;0,058;0,751;0,975;0,8;0,12;0,519;0,972;3,083;0,987;1,688;5,478
"Skierniewicki";0,82;0,639;-0,353;2,114;14,684;1,077;12,524;16,69;0,876;0,066;0,725;0,972;0,779;0,129;0,482;0,969;7,328;2,621;3,439;13,668
"Kielecki";0,642;0,432;-0,188;1,512;15,019;0,993;13,096;16,989;0,888;0,061;0,742;0,976;0,798;0,12;0,519;0,968;3,748;1,145;2,128;6,647
"Sandomiersko-jędrzejowski";0,08;0,45;-0,745;1,028;15,008;1,001;13,091;16,935;0,889;0,059;0,749;0,975;0,799;0,121;0,527;0,973;3,7;1,169;2,044;6,597
"Nyski";0,258;0,529;-0,718;1,409;14,996;1,008;13,008;16,979;0,889;0,058;0,754;0,975;0,799;0,122;0,513;0,972;5,503;1,706;3,117;9,573
"Puławski";1,11;0,645;-0,101;2,426;14,972;1,012;12,963;16,969;0,889;0,06;0,749;0,975;0,8;0,121;0,515;0,972;9,924;3,115;5,578;17,455
"Włocławski";0,65;0,618;-0,479;1,927;15,032;1,007;13,035;17,022;0,887;0,06;0,743;0,974;0,801;0,122;0,509;0,972;8,024;2,438;4,507;13,737
