"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";0,86;0,508;-0,13;1,832;9,98;1,004;8,031;11,936;0,925;0,05;0,804;0,992;0,799;0,12;0,521;0,971;6,696;2,113;3,774;11,93
"Miasto Szczecin";-0,311;0,539;-1,345;0,788;9,974;0,994;8,001;11,9;0,924;0,051;0,795;0,99;0,8;0,121;0,51;0,971;7,154;2,216;4,021;12,683
"Bialski";0,039;0,562;-1,014;1,176;9,809;0,951;7,965;11,725;0,923;0,051;0,797;0,989;0,743;0,13;0,451;0,948;7,246;2,667;3,769;14,192
"Łomżynski";0,462;0,57;-0,64;1,621;9,899;1,017;7,937;11,862;0,924;0,05;0,804;0,991;0,791;0,123;0,508;0,969;8,372;2,691;4,628;14,835
"Wrocławski";1,824;0,653;0,506;3,083;9,767;1,025;7,754;11,738;0,896;0,069;0,727;0,986;0,757;0,131;0,466;0,958;10,94;3,809;5,617;20,127
"Nowotarski";0,487;0,445;-0,367;1,384;9,984;1,02;7,995;12,01;0,926;0,049;0,808;0,991;0,796;0,123;0,507;0,971;4,409;1,371;2,462;7,709
"Oświęcimski";-0,24;0,51;-1,235;0,8;10,005;1,003;8,04;11,943;0,925;0,05;0,801;0,99;0,801;0,119;0,525;0,973;6,261;2,05;3,473;11,293
"Zielonogórski";0,368;0,511;-0,625;1,379;9,948;1,015;7,931;11,92;0,924;0,05;0,804;0,99;0,797;0,121;0,516;0,972;6,026;1,926;3,355;10,647
"Kaliski";1,104;0,516;0,099;2,117;9,962;1,007;8,02;11,956;0,925;0,05;0,801;0,99;0,797;0,122;0,516;0,971;6,566;2,148;3,628;11,864
"Poznański";1,863;0,551;0,744;2,894;9,937;1,024;7,971;11,979;0,919;0,055;0,786;0,99;0,79;0,125;0,51;0,969;7,631;2,418;4,251;13,551
"Siedlecki";0,849;0,655;-0,434;2,15;9,704;1,031;7,7;11,735;0,899;0,067;0,733;0,987;0,745;0,138;0,442;0,959;10,083;3,767;4,691;19,267
"Ostrołęcki";0,899;0,513;-0,109;1,893;9,961;1,007;8,008;11,944;0,925;0,05;0,797;0,99;0,798;0,121;0,51;0,973;6,693;2,136;3,687;12,04
"Białostocki";0,304;0,445;-0,58;1,181;9,944;1,01;7,978;11,914;0,926;0,05;0,802;0,991;0,801;0,118;0,534;0,972;4,294;1,347;2,416;7,507
"Miasto Kraków";0,684;0,584;-0,436;1,832;9,992;0,989;8,102;11,958;0,924;0,051;0,798;0,989;0,796;0,12;0,522;0,97;9,774;3,101;5,53;17,069
"Olsztyński";-0,22;0,422;-1,034;0,636;10,004;1,001;8,034;11,957;0,925;0,05;0,805;0,991;0,798;0,122;0,514;0,97;3,796;1,208;2,145;6,746
"Ełcki";0,116;0,539;-0,911;1,186;10,003;1,001;8,042;11,948;0,924;0,051;0,801;0,99;0,798;0,123;0,505;0,972;7,105;2,279;3,956;12,532
"Trójmiejski";0,471;0,618;-0,749;1,674;9,976;0,996;8,016;11,93;0,924;0,051;0,793;0,99;0,798;0,121;0,517;0,971;10,865;3,424;6,096;19,451
"Gdański";1,755;0,567;0,637;2,837;9,838;1,034;7,817;11,907;0,92;0,054;0,787;0,99;0,774;0,131;0,475;0,966;8,03;2,663;4,376;14,579
"Słupski";0,546;0,563;-0,56;1,695;9,883;1,029;7,86;11,94;0,925;0,05;0,803;0,99;0,784;0,124;0,491;0,966;7,848;2,507;4,308;14,106
"Opolski";-0,208;0,611;-1,355;1,033;10,284;0,956;8,396;12,159;0,885;0,063;0,737;0,977;0,726;0,127;0,45;0,933;8,655;3,17;4,686;16,956
"Bydgosko-Torunski";0,009;0,434;-0,811;0,914;10,013;1;8,052;11,971;0,926;0,048;0,806;0,99;0,799;0,12;0,523;0,973;4,291;1,367;2,371;7,62
"Radomski";0,157;0,479;-0,802;1,095;9,994;1,016;8,011;11,966;0,926;0,048;0,806;0,991;0,801;0,122;0,515;0,973;5,289;1,692;2,965;9,548
"Skierniewicki";-0,064;0,6;-1,18;1,173;9,861;0,974;7,914;11,774;0,899;0,061;0,756;0,986;0,747;0,132;0,456;0,953;7,822;3,074;3,863;15,661
"Kielecki";0,204;0,496;-0,739;1,191;9,997;1,021;8,024;11,977;0,924;0,051;0,799;0,99;0,796;0,122;0,515;0,971;5,872;1,848;3,235;10,344
"Sandomiersko-jędrzejowski";-0,318;0,497;-1,262;0,673;10,008;0,984;8,077;11,947;0,925;0,05;0,802;0,991;0,8;0,121;0,52;0,971;5,789;1,864;3,23;10,227
"Nyski";-0,392;0,574;-1,484;0,769;9,847;1,041;7,822;11,876;0,914;0,057;0,778;0,988;0,783;0,128;0,492;0,971;7,059;2,393;3,557;12,765
"Puławski";0,211;0,633;-1,003;1,492;9,946;1,01;7,928;11,869;0,921;0,054;0,789;0,991;0,789;0,125;0,496;0,971;11,619;3,77;6,387;20,975
"Włocławski";-0,101;0,622;-1,313;1,173;9,943;1,002;8,013;11,905;0,925;0,05;0,798;0,991;0,796;0,122;0,52;0,972;10,11;3,264;5,573;17,978
"Łódzki";0,975;0,484;0,011;1,915;9,979;1,007;8,043;11,985;0,925;0,051;0,8;0,99;0,799;0,12;0,513;0,972;5,495;1,73;3,11;9,64
"Chojnicki";0,505;0,496;-0,475;1,475;9,958;1,02;7,91;11,944;0,925;0,05;0,803;0,99;0,799;0,12;0,524;0,971;5,591;1,775;3,159;9,931
"Starogardzki";0,061;0,698;-1,26;1,484;9,759;0,985;7,823;11,69;0,883;0,072;0,715;0,984;0,732;0,135;0,442;0,952;9,828;4,182;4,233;19,744
"Miasto Łódz";0,198;0,469;-0,678;1,16;9,991;1,013;8,041;12,013;0,925;0,05;0,802;0,991;0,802;0,118;0,531;0,973;4,9;1,577;2,729;8,865
"Leszczyński";0,924;0,394;0,143;1,704;10,002;0,989;8,034;11,919;0,927;0,049;0,805;0,99;0,8;0,121;0,527;0,971;3,425;1,062;1,915;6,014
"Jeleniogórski";-0,16;0,597;-1,278;1,025;9,933;1,016;7,987;11,922;0,923;0,051;0,798;0,989;0,798;0,12;0,52;0,972;9,486;3,018;5,27;16,875
"Legnicko-Głogowski";-0,239;0,985;-2,118;1,788;10,281;1,004;8,314;12,261;0,831;0,085;0,639;0,961;0,735;0,118;0,48;0,93;37,059;17,37;16,608;82,539
"Tarnobrzeski";0,482;0,475;-0,448;1,42;9,986;1,023;7,969;12,017;0,925;0,05;0,803;0,991;0,804;0,12;0,519;0,971;5,049;1,585;2,845;8,907
"Koniński";0,427;0,514;-0,582;1,463;9,985;1,012;8,008;11,971;0,927;0,05;0,805;0,991;0,796;0,12;0,515;0,971;6,551;2,092;3,585;11,671
"Szczecinecko-pyrzycki";-0,561;0,419;-1,343;0,298;9,991;1,01;8,062;11,959;0,926;0,05;0,801;0,991;0,799;0,121;0,521;0,97;3,74;1,174;2,069;6,562
"Tyski";-0,103;0,932;-1,831;1,739;9,523;0,999;7,649;11,534;0,869;0,08;0,681;0,983;0,698;0,141;0,405;0,937;13,406;6,74;4,751;29,213
"Sieradzki";0,12;0,57;-0,966;1,282;9,992;1;8,072;11,95;0,925;0,05;0,803;0,991;0,799;0,12;0,52;0,969;8,744;2,764;4,882;15,631
"Rzeszowski";1,364;0,536;0,317;2,423;9,851;1,011;7,931;11,851;0,918;0,055;0,782;0,989;0,782;0,129;0,489;0,967;6,855;2,275;3,699;12,359
"Szczeciński";0,379;0,499;-0,587;1,352;10,004;1;8,048;12,009;0,925;0,049;0,805;0,991;0,798;0,119;0,53;0,973;5,977;1,874;3,341;10,563
"Bytomski";0,013;0,527;-1,011;1,069;9,939;1,011;7,936;11,9;0,925;0,051;0,801;0,991;0,795;0,123;0,509;0,973;6,771;2,133;3,808;11,982
"Gliwicki";0,563;0,547;-0,498;1,646;9,914;1,011;7,894;11,893;0,921;0,051;0,794;0,99;0,792;0,124;0,502;0,971;7,336;2,351;4,029;12,974
"Katowicki";-0,263;0,591;-1,354;0,942;9,837;0,971;7,986;11,78;0,896;0,062;0,747;0,984;0,747;0,131;0,457;0,953;7,308;2,863;3,643;14,54
"Koszaliński";0,262;0,529;-0,752;1,316;9,957;0,998;8,028;11,919;0,923;0,053;0,79;0,991;0,798;0,121;0,515;0,972;7,022;2,211;3,895;12,231
