"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";-0,153;0,761;-1,787;1,21;4,275;1,122;2,164;6,473;0,853;0,104;0,587;0,982;0,774;0,125;0,485;0,963;8,981;3,158;4,727;17,061
"Miasto Szczecin";-0,976;0,597;-2,159;0,172;4,838;1,058;2,686;6,873;0,908;0,065;0,748;0,988;0,783;0,125;0,493;0,966;9,261;2,984;5,081;16,448
"Bialski";-0,62;0,637;-1,885;0,607;5,011;1,023;2,989;6,946;0,902;0,068;0,726;0,987;0,738;0,132;0,448;0,951;10,114;3,608;5,28;19,006
"Łomżynski";-0,371;0,647;-1,671;0,838;4,739;1,085;2,574;6,804;0,893;0,079;0,679;0,987;0,755;0,133;0,464;0,964;10,537;3,621;5,604;19,361
"Wrocławski";-0,399;0,984;-2,361;1,545;4,323;0,861;2,713;6,104;0,75;0,126;0,476;0,953;0,799;0,119;0,527;0,97;12,556;4,347;6,313;23,284
"Nowotarski";-0,084;0,551;-1,234;0,98;4,692;1,126;2,362;6,76;0,908;0,066;0,745;0,988;0,788;0,125;0,491;0,972;6,87;2,241;3,739;12,414
"Oświęcimski";-0,818;0,571;-1,951;0,28;4,883;1,06;2,742;6,903;0,917;0,056;0,777;0,99;0,787;0,125;0,499;0,967;8,845;2,979;4,784;15,778
"Zielonogórski";-0,413;0,605;-1,638;0,769;4,646;1,063;2,526;6,673;0,887;0,075;0,702;0,985;0,764;0,129;0,47;0,956;7,859;2,703;4,144;14,6
"Kaliski";0,073;0,748;-1,623;1,385;4,344;1,133;2,244;6,673;0,856;0,102;0,599;0,983;0,762;0,128;0,476;0,964;9,149;3,066;4,871;16,492
"Poznański";-0,442;1,089;-2,568;1,609;3,775;0,851;2,332;5,71;0,761;0,129;0,471;0,957;0,84;0,117;0,54;0,982;9,86;3,43;5,171;18,207
"Siedlecki";-0,352;0,774;-1,939;1,074;4,747;1,025;2,739;6,736;0,838;0,1;0,597;0,977;0,716;0,137;0,412;0,937;11,706;4,501;5,343;22,82
"Ostrołęcki";-0,025;0,69;-1,557;1,199;4,461;1,112;2,225;6,572;0,866;0,097;0,614;0,984;0,756;0,136;0,449;0,961;9,011;2,974;4,741;16,284
"Białostocki";-0,256;0,53;-1,32;0,739;4,798;1,03;2,716;6,763;0,915;0,059;0,769;0,99;0,772;0,128;0,479;0,963;6,461;2,136;3,586;11,745
"Miasto Kraków";-0,462;0,813;-2,228;0,973;4,32;1,146;2,126;6,623;0,843;0,112;0,551;0,983;0,777;0,124;0,5;0,961;12,321;4,156;6,454;22,65
"Olsztyński";-0,636;0,507;-1,672;0,325;4,919;1,01;2,99;6,884;0,921;0,054;0,788;0,99;0,794;0,125;0,499;0,97;6,27;2,032;3,496;11,259
"Ełcki";-0,628;0,607;-1,863;0,524;4,71;1,087;2,537;6,805;0,9;0,073;0,715;0,988;0,776;0,125;0,488;0,963;9,267;2,991;5,011;16,267
"Trójmiejski";-0,643;0,778;-2,316;0,75;4,471;1,086;2,33;6,611;0,854;0,106;0,576;0,984;0,763;0,13;0,467;0,961;12,716;4,33;6,424;23,288
"Gdański";-0,097;1,01;-2,209;1,722;4,146;0,945;2,474;6,123;0,787;0,124;0,502;0,969;0,774;0,128;0,483;0,965;9,99;3,775;4,99;19,422
"Słupski";-0,329;0,667;-1,722;0,918;4,729;1,079;2,595;6,783;0,89;0,08;0,682;0,987;0,751;0,133;0,455;0,959;9,991;3,568;5,176;18,697
"Opolski";-0,895;0,735;-2,313;0,519;5,069;1,108;2,84;7,237;0,857;0,088;0,645;0,977;0,731;0,134;0,441;0,951;14,798;5,713;7,082;28,861
"Bydgosko-Torunski";-0,483;0,516;-1,501;0,525;4,821;1,055;2,708;6,803;0,918;0,056;0,776;0,989;0,788;0,126;0,49;0,969;6,5;2,085;3,608;11,696
"Radomski";-0,462;0,564;-1,614;0,625;4,823;1,058;2,675;6,835;0,915;0,059;0,77;0,99;0,773;0,129;0,483;0,963;7,537;2,388;4,178;13,394
"Skierniewicki";-0,745;0,671;-2,073;0,615;4,865;1,062;2,724;6,914;0,883;0,081;0,677;0,986;0,749;0,134;0,452;0,956;11,584;4,237;5,863;21,824
"Kielecki";-0,518;0,596;-1,713;0,61;4,64;1,07;2,48;6,763;0,896;0,073;0,71;0,987;0,775;0,124;0,495;0,964;7,732;2,526;4,142;13,676
"Sandomiersko-jędrzejowski";-0,901;0,574;-2,027;0,214;4,788;1,045;2,69;6,837;0,91;0,061;0,767;0,989;0,784;0,127;0,48;0,968;7,917;2,616;4,399;14,185
"Nyski";-1,154;0,638;-2,432;0,105;4,774;1,019;2,8;6,775;0,892;0,069;0,726;0,985;0,763;0,129;0,469;0,959;8,784;3,13;4,421;16,424
"Puławski";-0,765;0,705;-2,162;0,581;4,722;1,067;2,613;6,798;0,881;0,085;0,665;0,985;0,752;0,13;0,463;0,957;13,58;4,591;7,224;24,602
"Włocławski";-0,92;0,657;-2,226;0,377;4,801;1,058;2,718;6,858;0,9;0,072;0,72;0,989;0,762;0,135;0,445;0,963;12,181;4,067;6,382;22,205
"Łódzki";0,055;0,683;-1,357;1,284;4,369;1,091;2,276;6,482;0,877;0,089;0,65;0,986;0,759;0,127;0,468;0,96;7,714;2,584;4,152;13,79
"Chojnicki";-0,198;0,59;-1,403;0,943;4,735;1,058;2,687;6,835;0,904;0,067;0,736;0,988;0,761;0,132;0,461;0,961;7,885;2,605;4,293;14,107
"Starogardzki";-0,861;0,744;-2,377;0,592;4,876;1,036;2,824;6,89;0,863;0,086;0,662;0,982;0,729;0,13;0,437;0,939;12,975;4,865;6,203;24,959
"Miasto Łódz";-0,433;0,556;-1,605;0,625;4,685;1,047;2,655;6,708;0,9;0,068;0,734;0,987;0,788;0,122;0,513;0,968;7,117;2,35;3,866;12,772
"Leszczyński";0,326;0,588;-0,917;1,373;4,583;1,217;1,986;6,797;0,898;0,082;0,668;0,988;0,783;0,125;0,501;0,967;6,008;1,982;3,315;11,01
"Jeleniogórski";-1,004;0,665;-2,32;0,294;4,739;1,085;2,535;6,809;0,895;0,073;0,715;0,987;0,765;0,13;0,475;0,964;11,386;3,692;6,055;20,112
"Legnicko-Głogowski";-1,341;0,969;-3,239;0,579;5,149;1,013;3,137;7,149;0,819;0,101;0,586;0,968;0,776;0,113;0,522;0,951;55,926;20,856;26,779;105,424
"Tarnobrzeski";-0,175;0,581;-1,367;0,928;4,703;1,073;2,619;6,835;0,904;0,068;0,735;0,988;0,773;0,128;0,477;0,963;7,48;2,499;4,028;13,511
"Koniński";-0,306;0,61;-1,556;0,856;4,732;1,076;2,655;6,844;0,904;0,069;0,727;0,988;0,764;0,132;0,472;0,963;9,004;2,897;4,915;16,018
"Szczecinecko-pyrzycki";-0,94;0,5;-1,923;0,017;4,959;1,035;2,948;6,942;0,922;0,052;0,796;0,99;0,796;0,123;0,512;0,971;6,012;1,963;3,342;11,042
"Tyski";-1,24;0,833;-2,822;0,392;5,108;0,989;3,161;6,97;0,839;0,091;0,627;0,972;0,71;0,128;0,438;0,93;16,027;6,789;6,731;32,253
"Sieradzki";-0,65;0,65;-1,935;0,602;4,749;1,096;2,508;6,839;0,906;0,069;0,723;0,988;0,78;0,129;0,472;0,968;11,312;3,641;6,3;20,513
"Rzeszowski";0,071;0,846;-1,792;1,587;4,215;1,065;2,296;6,462;0,826;0,111;0,571;0,976;0,759;0,129;0,469;0,957;9,213;3,197;4,852;17,015
"Szczeciński";-0,358;0,6;-1,568;0,801;4,723;1,047;2,615;6,7;0,894;0,073;0,715;0,987;0,768;0,129;0,474;0,96;7,861;2,766;4,05;14,609
"Bytomski";-0,775;0,601;-1,95;0,387;4,753;0,989;2,824;6,712;0,908;0,062;0,753;0,989;0,764;0,127;0,477;0,961;8,41;2,843;4,436;15,373
"Gliwicki";-0,338;0,678;-1,767;0,932;4,575;1,122;2,321;6,751;0,873;0,092;0,638;0,986;0,759;0,133;0,461;0,96;9,611;3,317;5,118;17,606
"Katowicki";-0,883;0,664;-2,17;0,397;4,937;1,04;2,853;6,979;0,888;0,072;0,707;0,985;0,749;0,133;0,454;0,958;10,909;3,932;5,422;20,391
