"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p01 post mean";"p01 post SD";"p01 HPDI 95 L";"p01 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Miasto Wrocław";-0,223;0,067;-0,349;-0,083;0,636;0,046;0,547;0,729;0,937;0,036;0,851;0,987;0,975;0,018;0,932;0,997;0,128;0,017;0,099;0,166
"Miasto Szczecin";0,335;0,048;0,241;0,43;-0,512;0,085;-0,685;-0,346;0,953;0,023;0,9;0,987;0,925;0,042;0,823;0,984;0,153;0,021;0,118;0,199
"Bialski";-0,191;0,269;-0,629;0,124;-0,193;0,269;-0,636;0,121;0,914;0,074;0,734;0,99;0,941;0,058;0,785;0,996;0,118;0,017;0,09;0,155
"Łomżyński";0,392;0,053;0,288;0,498;-0,213;0,051;-0,316;-0,111;0,95;0,028;0,882;0,989;0,967;0,024;0,908;0,996;0,127;0,017;0,099;0,166
"Wrocławski";0,032;0,047;-0,06;0,125;-0,903;0,112;-1,128;-0,694;0,969;0,017;0,926;0,994;0,91;0,053;0,787;0,986;0,161;0,023;0,123;0,212
"Nowotarski";0,573;0,053;0,471;0,676;-0,151;0,044;-0,236;-0,065;0,943;0,031;0,869;0,988;0,973;0,019;0,927;0,997;0,116;0,016;0,09;0,15
"Oświęcimski";0,27;0,049;0,177;0,367;-0,56;0,062;-0,678;-0,436;0,959;0,023;0,901;0,991;0,961;0,027;0,892;0,995;0,151;0,02;0,118;0,196
"Zielonogórski";-0,128;0,05;-0,225;-0,029;-0,768;0,067;-0,895;-0,636;0,957;0,025;0,898;0,991;0,958;0,029;0,885;0,994;0,145;0,02;0,11;0,188
"Kaliski";0,306;0,063;0,186;0,431;-0,356;0,063;-0,485;-0,24;0,943;0,031;0,871;0,988;0,959;0,027;0,894;0,994;0,128;0,018;0,098;0,169
"Poznański";-0,084;0,249;-0,41;0,232;0,005;0,206;-0,359;0,183;0,894;0,082;0,675;0,988;0,948;0,054;0,794;0,996;0,107;0,015;0,081;0,142
"Siedlecki";0,393;0,076;0,255;0,551;-0,059;0,041;-0,14;0,023;0,919;0,045;0,81;0,982;0,98;0,017;0,938;0,999;0,108;0,014;0,083;0,14
"Ostrołęcki";-0,408;0,301;-0,921;0,031;-0,305;0,22;-0,827;-0,064;0,87;0,088;0,656;0,983;0,936;0,057;0,786;0,996;0,133;0,019;0,1;0,177
"Białostocki";0,198;0,067;0,08;0,35;-0,243;0,06;-0,362;-0,123;0,931;0,042;0,827;0,986;0,951;0,029;0,882;0,992;0,121;0,017;0,092;0,159
"Miasto Kraków";0,712;0,078;0,578;0,896;0,149;0,064;0,026;0,279;0,943;0,035;0,852;0,988;0,967;0,024;0,908;0,996;0,142;0,019;0,109;0,184
"Olsztyński";0,062;0,056;-0,05;0,171;-0,483;0,048;-0,576;-0,387;0,939;0,035;0,854;0,986;0,968;0,022;0,913;0,996;0,125;0,017;0,097;0,162
"Ełcki";0,308;0,105;0,1;0,514;-1,124;0,067;-1,258;-0,997;0,935;0,036;0,849;0,986;0,965;0,021;0,916;0,994;0,264;0,037;0,202;0,344
"Trójmiejski";0,832;0,068;0,693;0,961;0,215;0,059;0,078;0,318;0,947;0,03;0,875;0,989;0,968;0,022;0,913;0,996;0,137;0,019;0,103;0,179
"Gdański";0,188;0,06;0,075;0,314;-0,447;0,069;-0,588;-0,314;0,949;0,029;0,879;0,988;0,955;0,03;0,884;0,994;0,148;0,021;0,114;0,194
"Słupski";0,076;0,058;-0,035;0,191;-1,349;0,085;-1,519;-1,184;0,962;0,021;0,911;0,992;0,956;0,03;0,883;0,994;0,221;0,03;0,169;0,286
"Opolski";0,443;0,086;0,276;0,614;0,001;0,112;-0,11;0,099;0,919;0,045;0,81;0,983;0,965;0,026;0,899;0,996;0,123;0,017;0,094;0,161
"Bydgosko-toruński";0,399;0,05;0,302;0,5;-0,259;0,085;-0,432;-0,094;0,951;0,024;0,896;0,987;0,937;0,039;0,84;0,99;0,142;0,02;0,107;0,186
"Radomski";0,002;0,075;-0,135;0,159;-0,741;0,065;-0,874;-0,619;0,946;0,031;0,869;0,989;0,966;0,024;0,906;0,996;0,157;0,022;0,12;0,206
"Skierniewicki";-0,285;0,265;-0,676;0,105;-0,128;0,243;-0,641;0,106;0,91;0,073;0,73;0,99;0,959;0,045;0,831;0,997;0,116;0,016;0,089;0,152
