"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Maryland";0,139;0,032;0,075;0,202;-0,546;0,069;-0,69;-0,421;0,966;0,014;0,935;0,988;0,905;0,036;0,827;0,963;0,141;0,013;0,118;0,168
"Iowa";0,129;0,026;0,075;0,178;-0,467;0,059;-0,605;-0,366;0,969;0,013;0,941;0,99;0,938;0,029;0,871;0,983;0,075;0,007;0,063;0,09
"Delaware";0,571;0,075;0,424;0,715;-0,159;0,04;-0,241;-0,082;0,909;0,033;0,836;0,961;0,965;0,015;0,931;0,987;0,166;0,015;0,14;0,198
"Ohio";0,361;0,05;0,265;0,46;-0,541;0,075;-0,7;-0,408;0,951;0,017;0,912;0,979;0,935;0,026;0,875;0,976;0,2;0,019;0,167;0,24
"Pennsylvania";0,024;0,019;-0,013;0,063;2,316;0,143;2,034;2,592;0,989;0,006;0,974;0,998;0,868;0,083;0,661;0,981;0,101;0,009;0,085;0,12
"Nebraska";0,118;0,027;0,067;0,17;-1,654;0,102;-1,866;-1,464;0,984;0,008;0,965;0,996;0,94;0,04;0,841;0,992;0,163;0,014;0,138;0,192
"Washington";0,447;0,139;0,314;0,902;-0,201;0,062;-0,305;-0,043;0,946;0,031;0,868;0,984;0,97;0,015;0,935;0,993;0,152;0,014;0,127;0,181
"Alabama";0,625;0,162;0,241;0,846;-0,399;0,129;-0,766;-0,269;0,916;0,035;0,837;0,971;0,967;0,02;0,913;0,99;0,228;0,021;0,191;0,275
"Arkansas";0,253;0,036;0,181;0,323;-0,417;0,037;-0,488;-0,345;0,949;0,019;0,905;0,979;0,955;0,018;0,914;0,984;0,115;0,01;0,097;0,137
"New Mexico";0,422;0,056;0,317;0,536;-0,477;0,059;-0,592;-0,364;0,959;0,018;0,917;0,986;0,956;0,018;0,914;0,985;0,209;0,019;0,175;0,247
