"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Maryland";0,044;0,223;-0,367;0,475;2,036;0,276;1,61;2,702;0,888;0,053;0,762;0,969;0,895;0,056;0,763;0,977;0,673;0,136;0,453;0,984
"Iowa";-0,498;0,258;-0,999;0,019;3,114;0,387;2,385;3,877;0,857;0,053;0,737;0,943;0,823;0,073;0,659;0,938;1,685;0,343;1,126;2,451
"Delaware";-1,109;0,589;-2,176;0,084;4,563;0,683;3,258;5,974;0,884;0,054;0,763;0,97;0,805;0,079;0,633;0,931;7,521;1,911;4,75;12,248
"Ohio";-1,162;0,226;-1,608;-0,736;1,183;0,187;0,846;1,548;0,89;0,056;0,758;0,973;0,944;0,038;0,853;0,993;0,827;0,16;0,571;1,172
"Pennsylvania";0,332;0,125;0,093;0,578;3,238;0,344;2,558;3,93;0,949;0,028;0,882;0,988;0,878;0,079;0,686;0,984;0,769;0,143;0,534;1,099
"Nebraska";0,592;0,264;0,066;1,105;3,557;0,499;2,585;4,571;0,92;0,047;0,802;0,983;0,858;0,085;0,659;0,977;2,238;0,473;1,451;3,349
"Washington";0,908;0,332;0,278;1,553;3,266;0,237;2,856;3,79;0,859;0,066;0,711;0,963;0,942;0,041;0,842;0,993;1,08;0,214;0,739;1,555
"Alabama";-0,936;0,201;-1,323;-0,542;0,451;0,097;0,265;0,643;0,792;0,085;0,607;0,93;0,924;0,038;0,833;0,98;0,297;0,062;0,2;0,441
"Arkansas";-0,305;0,206;-0,709;0,113;2,384;0,511;1,493;3,396;0,902;0,05;0,786;0,976;0,784;0,1;0,571;0,951;1,207;0,313;0,741;1,988
"New Mexico";-1,761;0,572;-2,891;-0,802;0,98;0,537;0,194;2,166;0,849;0,072;0,689;0,961;0,869;0,066;0,711;0,966;1,593;0,424;0,97;2,606
"Texas";-1,498;0,311;-2,094;-0,884;3,634;0,23;3,186;4,092;0,871;0,059;0,738;0,963;0,916;0,041;0,82;0,976;1,848;0,367;1,279;2,687
"California";0,119;0,203;-0,267;0,527;2,761;0,213;2,36;3,19;0,902;0,048;0,79;0,973;0,904;0,051;0,783;0,98;0,965;0,202;0,648;1,431
"Kentucky";-0,009;0,165;-0,349;0,301;2,548;0,552;1,501;3,762;0,943;0,036;0,854;0,989;0,811;0,095;0,584;0,957;0,922;0,187;0,622;1,34
"Georgia";-0,608;0,211;-1,002;-0,169;2,008;0,181;1,671;2,374;0,914;0,047;0,802;0,982;0,975;0,025;0,907;0,999;0,95;0,179;0,661;1,352
"Wisconsin";0,278;0,902;-1,282;1,513;0,056;0,678;-1,072;1,134;0,845;0,085;0,636;0,963;0,89;0,067;0,719;0,977;0,62;0,144;0,402;0,965
"Oregon";-0,06;0,263;-0,554;0,473;2,805;0,367;2,229;3,658;0,927;0,04;0,832;0,985;0,907;0,053;0,776;0,982;1,226;0,247;0,844;1,806
"Missouri";-0,315;0,181;-0,666;0,039;2,779;0,568;1,742;4,003;0,944;0,032;0,866;0,988;0,861;0,087;0,652;0,981;1,416;0,279;0,971;2,068
"Virginia";-0,013;0,164;-0,326;0,332;1,755;0,306;1,284;2,416;0,894;0,048;0,786;0,966;0,85;0,076;0,675;0,963;0,567;0,124;0,379;0,865
"Tennessee";0,277;0,174;-0,066;0,615;3,15;0,363;2,424;3,844;0,926;0,037;0,839;0,98;0,863;0,071;0,697;0,968;1,253;0,241;0,868;1,786
"Louisiana";-2,176;0,423;-2,968;-1,3;3,512;0,601;2,404;4,76;0,894;0,046;0,789;0,967;0,819;0,078;0,639;0,944;4,607;1,049;2,955;7,037
"New York";0,675;0,265;0,165;1,165;5,172;0,682;3,714;6,432;0,928;0,037;0,842;0,978;0,816;0,089;0,618;0,955;3,096;0,614;2,149;4,542
"Michigan";-3,119;0,407;-3,874;-2,251;1,128;0,262;0,632;1,658;0,886;0,061;0,747;0,975;0,96;0,029;0,89;0,997;2,518;0,533;1,703;3,803
"Idaho";-0,022;0,176;-0,373;0,324;2,824;0,225;2,362;3,267;0,906;0,045;0,802;0,973;0,931;0,047;0,812;0,992;1,012;0,197;0,693;1,468
"Florida";-1,867;0,272;-2,389;-1,328;2,184;0,188;1,819;2,561;0,902;0,053;0,778;0,978;0,959;0,029;0,884;0,994;1,274;0,245;0,888;1,837
"Illinois";-0,537;0,179;-0,872;-0,165;1,04;0,169;0,736;1,395;0,841;0,067;0,693;0,951;0,847;0,06;0,711;0,943;0,434;0,101;0,282;0,671
"Montana";0,101;0,317;-0,56;0,711;3,004;0,492;2,115;4,111;0,909;0,053;0,78;0,982;0,857;0,073;0,683;0,968;2,054;0,445;1,348;3,117
"Minnesota";-0,499;0,219;-0,929;-0,07;1,317;0,231;0,893;1,796;0,861;0,063;0,716;0,959;0,889;0,06;0,746;0,976;0,794;0,164;0,533;1,177
"Indiana";0,157;0,455;-1,074;0,744;3,361;1,109;1,268;5,276;0,914;0,072;0,714;0,987;0,838;0,094;0,63;0,973;2,196;0,458;1,439;3,23
"Massachusetts";0,546;0,219;0,133;0,973;2,118;0,178;1,809;2,45;0,825;0,072;0,663;0,942;0,899;0,05;0,78;0,973;0,559;0,117;0,375;0,827
"Kansas";0,164;0,339;-0,471;0,817;3,104;0,543;2,229;4,319;0,915;0,05;0,795;0,987;0,859;0,073;0,687;0,967;1,871;0,453;1,185;2,91
