"m0 post mean";"m0 post SD";"m0 HPDI 95 L";"m0 HPDI 95 U";"m1 post mean";"m1 post SD";"m1 HPDI 95 L";"m1 HPDI 95 U";"p00 post mean";"p00 post SD";"p00 HPDI 95 L";"p00 HPDI 95 U";"p11 post mean";"p11 post SD";"p11 HPDI 95 L";"p11 HPDI 95 U";"sigma post mean";"sigma post SD";"sigma HPDI 95 L";"sigma HPDI 95 U"
"Maryland";0,138;0,032;0,073;0,199;-0,547;0,073;-0,699;-0,415;0,967;0,013;0,938;0,988;0,904;0,036;0,821;0,962;0,14;0,013;0,117;0,168
"Iowa";0,129;0,024;0,078;0,174;-0,46;0,056;-0,595;-0,362;0,969;0,013;0,939;0,99;0,937;0,03;0,867;0,982;0,075;0,007;0,062;0,089
"Delaware";0,571;0,076;0,424;0,72;-0,159;0,039;-0,24;-0,086;0,908;0,034;0,83;0,961;0,964;0,015;0,93;0,987;0,167;0,015;0,141;0,199
"Ohio";0,363;0,051;0,267;0,459;-0,544;0,077;-0,706;-0,409;0,951;0,017;0,914;0,979;0,935;0,026;0,875;0,975;0,201;0,018;0,168;0,24
"Pennsylvania";2,361;0,145;2,075;2,652;0,024;0,019;-0,014;0,062;0,801;0,1;0,575;0,953;0,993;0,005;0,979;0,999;0,101;0,009;0,085;0,119
"Nebraska";0,117;0,027;0,065;0,171;-1,648;0,102;-1,859;-1,458;0,984;0,008;0,965;0,996;0,939;0,042;0,833;0,993;0,162;0,014;0,137;0,192
"Washington";0,488;0,238;0,319;1,229;-0,191;0,072;-0,303;-0,008;0,942;0,041;0,827;0,983;0,972;0,016;0,935;0,994;0,154;0,014;0,128;0,184
"Alabama";0,691;0,087;0,515;0,859;-0,347;0,043;-0,439;-0,266;0,908;0,034;0,83;0,963;0,972;0,013;0,941;0,991;0,23;0,021;0,194;0,275
"Arkansas";0,253;0,036;0,183;0,322;-0,416;0,036;-0,486;-0,347;0,949;0,019;0,908;0,98;0,955;0,019;0,912;0,984;0,114;0,01;0,095;0,136
"New Mexico";0,424;0,057;0,32;0,538;-0,472;0,061;-0,594;-0,361;0,958;0,018;0,916;0,986;0,955;0,019;0,912;0,985;0,208;0,019;0,174;0,248
"Texas";0,629;0,057;0,518;0,743;-0,233;0,032;-0,295;-0,169;0,93;0,029;0,862;0,976;0,969;0,013;0,937;0,989;0,146;0,013;0,123;0,174
"California";1,846;0,187;1,476;2,186;-0,17;0,044;-0,263;-0,087;0,928;0,042;0,826;0,985;0,988;0,007;0,971;0,998;0,339;0,029;0,286;0,401
"Kentucky";1,14;0,404;0,076;1,63;-0,267;0,296;-1,287;-0,09;0,854;0,076;0,69;0,985;0,975;0,027;0,886;0,995;0,354;0,032;0,296;0,422
"Georgia";0,796;0,051;0,696;0,897;-0,195;0,021;-0,237;-0,152;0,912;0,038;0,826;0,97;0,982;0,009;0,962;0,995;0,089;0,008;0,075;0,105
"Wisconsin";0,388;0,077;0,261;0,551;-0,33;0,07;-0,463;-0,202;0,939;0,024;0,883;0,976;0,957;0,019;0,913;0,986;0,163;0,015;0,137;0,194
"Oregon";1,331;0,101;1,139;1,532;-0,232;0,033;-0,297;-0,166;0,887;0,048;0,778;0,962;0,979;0,009;0,957;0,994;0,227;0,02;0,191;0,271
"Missouri";0,247;0,029;0,19;0,303;-0,539;0,042;-0,623;-0,46;0,959;0,015;0,924;0,983;0,937;0,025;0,879;0,976;0,106;0,009;0,089;0,125
"Virginia";0,412;0,065;0,3;0,549;-0,168;0,042;-0,252;-0,088;0,907;0,031;0,835;0,958;0,949;0,02;0,903;0,982;0,096;0,009;0,08;0,115
"Tennessee";0,762;0,116;0,525;0,982;-0,175;0,048;-0,286;-0,092;0,885;0,042;0,793;0,955;0,969;0,016;0,931;0,991;0,201;0,019;0,167;0,242
"Louisiana";4,473;0,757;2,486;5,651;-0,059;0,064;-0,186;0,063;0,771;0,112;0,522;0,946;0,992;0,006;0,978;0,999;0,953;0,085;0,803;1,132
"New York";3,482;0,15;3,185;3,772;-0,064;0,031;-0,124;-0,003;0,902;0,064;0,742;0,987;0,993;0,005;0,979;0,999;0,239;0,021;0,201;0,283
"Michigan";6,386;0,834;3,729;7,529;0,042;0,061;-0,084;0,156;0,768;0,111;0,522;0,944;0,992;0,006;0,978;0,999;0,883;0,082;0,736;1,052
"Idaho";1,487;0,177;1,164;1,859;-0,213;0,031;-0,275;-0,153;0,877;0,066;0,722;0,973;0,992;0,005;0,979;0,999;0,237;0,02;0,2;0,28
"Florida";1,254;0,06;1,135;1,371;-0,308;0,031;-0,37;-0,248;0,942;0,028;0,877;0,983;0,986;0,008;0,968;0,997;0,19;0,017;0,16;0,226
"Illinois";3,289;0,204;2,879;3,676;-0,014;0,04;-0,096;0,066;0,899;0,066;0,74;0,986;0,992;0,005;0,979;0,999;0,419;0,037;0,352;0,496
"Montana";0,04;0,022;-0,003;0,085;-0,864;0,058;-0,978;-0,747;0,978;0,01;0,956;0,993;0,941;0,033;0,864;0,987;0,101;0,009;0,085;0,12
"Minnesota";0,257;0,031;0,198;0,32;-0,304;0,042;-0,387;-0,222;0,948;0,018;0,906;0,977;0,936;0,026;0,877;0,976;0,114;0,01;0,095;0,135
"Indiana";1,602;0,143;1,33;1,895;-0,082;0,033;-0,145;-0,018;0,841;0,065;0,695;0,945;0,984;0,008;0,966;0,996;0,236;0,021;0,199;0,281
"Massachusetts";2,777;0,156;2,458;3,065;0,005;0,027;-0,048;0,058;0,861;0,079;0,676;0,977;0,99;0,006;0,974;0,998;0,178;0,016;0,149;0,212
"Kansas";-0,251;0,044;-0,336;-0,157;0,108;0,032;0,057;0,169;0,947;0,028;0,878;0,986;0,973;0,016;0,933;0,993;0,082;0,007;0,069;0,097
"Nevada";7,921;0,415;7,106;8,735;0,067;0,072;-0,075;0,207;0,826;0,089;0,624;0,96;0,993;0,005;0,979;0,999;1,348;0,12;1,132;1,602
"Vermont";0,067;0,03;0,01;0,126;-1,001;0,104;-1,209;-0,793;0,978;0,01;0,957;0,993;0,925;0,041;0,827;0,984;0,158;0,014;0,133;0,189
"Connecticut";1,073;0,086;0,909;1,246;-0,105;0,032;-0,169;-0,041;0,916;0,039;0,825;0,976;0,983;0,009;0,962;0,995;0,209;0,019;0,176;0,25
"New Jersey";4,595;0,248;4,096;5,08;-0,004;0,038;-0,08;0,071;0,752;0,103;0,532;0,92;0,989;0,006;0,973;0,998;0,365;0,032;0,308;0,434
"North Carolina";1,563;0,115;1,335;1,789;-0,184;0,039;-0,259;-0,107;0,89;0,047;0,782;0,964;0,983;0,009;0,963;0,996;0,328;0,029;0,275;0,389
"Utah";0,196;0,038;0,122;0,272;-1,048;0,085;-1,22;-0,887;0,973;0,011;0,947;0,991;0,944;0,029;0,877;0,986;0,214;0,019;0,18;0,252
"North Dakota";0,204;0,029;0,147;0,26;-1,064;0,069;-1,2;-0,929;0,978;0,01;0,955;0,993;0,925;0,035;0,843;0,979;0,162;0,014;0,136;0,192
"South Carolina";0,74;0,051;0,642;0,839;-0,454;0,036;-0,528;-0,384;0,933;0,026;0,872;0,974;0,964;0,015;0,93;0,988;0,18;0,017;0,151;0,216
"Mississippi";0,889;0,093;0,705;1,071;-0,24;0,043;-0,326;-0,158;0,901;0,038;0,818;0,961;0,973;0,012;0,944;0,991;0,27;0,024;0,227;0,321
"Colorado";1,294;0,095;1,107;1,479;-0,212;0,038;-0,287;-0,138;0,914;0,037;0,828;0,971;0,977;0,01;0,954;0,993;0,267;0,024;0,225;0,317
"South Dakota";0,107;0,041;0,043;0,199;-1,227;0,223;-1,513;-0,788;0,982;0,009;0,961;0,995;0,94;0,04;0,839;0,991;0,142;0,012;0,12;0,168
"Oklahoma";0,355;0,04;0,275;0,433;-0,403;0,04;-0,484;-0,328;0,937;0,022;0,89;0,972;0,945;0,021;0,898;0,978;0,126;0,012;0,105;0,15
"Wyoming";0,999;0,167;0,728;1,377;-0,276;0,05;-0,374;-0,177;0,891;0,05;0,772;0,968;0,98;0,01;0,956;0,995;0,378;0,034;0,317;0,452
"West Virginia";0,509;0,068;0,381;0,648;-0,403;0,047;-0,5;-0,316;0,902;0,03;0,835;0,954;0,947;0,018;0,906;0,977;0,164;0,015;0,137;0,196
"Maine";-0,048;0,023;-0,094;-0,003;-2,373;0,169;-2,709;-2,028;0,985;0,007;0,968;0,996;0,802;0,099;0,579;0,953;0,141;0,012;0,119;0,167
"New Hampshire";0,236;0,038;0,165;0,31;-0,379;0,065;-0,505;-0,254;0,959;0,016;0,922;0,984;0,943;0,026;0,884;0,983;0,178;0,016;0,149;0,212
"Arizona";0,908;0,076;0,756;1,057;-0,146;0,03;-0,206;-0,089;0,909;0,038;0,825;0,969;0,984;0,009;0,961;0,996;0,155;0,014;0,131;0,183
"Rhode Island";1,895;0,126;1,651;2,142;-0,167;0,04;-0,243;-0,086;0,912;0,047;0,802;0,98;0,986;0,008;0,967;0,997;0,361;0,033;0,303;0,429
